ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.7278,10.2089,0.5555,-0.215,0.4549,-0.0257,0.0117,0.0671,0.0,4,2019-05-15 16:11:22:122
0.7278,10.2089,0.5555,-0.1221,0.3062,0.0707,0.0053,0.0458,-0.0053,14,2019-05-15 16:11:22:132
0.8428,9.9886,0.5794,-0.1221,0.3062,0.0707,0.0096,0.0138,-0.0149,24,2019-05-15 16:11:22:142
0.8428,9.9886,0.5794,-0.0713,0.2388,0.0532,0.0181,0.017,-0.017,34,2019-05-15 16:11:22:152
0.9002,9.9599,0.5076,-0.0102,0.2096,-0.0156,0.0245,0.0373,-0.0192,45,2019-05-15 16:11:22:163
0.9002,9.9599,0.5076,-0.0102,0.2096,-0.0156,0.0341,0.0597,-0.0224,56,2019-05-15 16:11:22:174
0.7901,10.0078,0.4884,-0.0489,0.1898,-0.0066,0.0341,0.0597,-0.0224,64,2019-05-15 16:11:22:182
0.7901,10.0078,0.4884,-0.2202,0.2848,-0.0115,0.0405,0.0863,-0.032,74,2019-05-15 16:11:22:192
0.6847,10.0269,0.565,-0.2202,0.2848,-0.0115,0.0341,0.0874,-0.0426,84,2019-05-15 16:11:22:202
0.6129,9.9934,0.5459,-0.2074,0.2743,0.0544,0.0266,0.066,-0.0501,94,2019-05-15 16:11:22:212
0.6129,9.9934,0.5459,-0.2735,0.2401,0.0375,0.0277,0.0501,-0.0458,105,2019-05-15 16:11:22:223
0.7135,9.9551,0.5315,-0.2735,0.2401,0.0375,0.0277,0.0501,-0.0458,115,2019-05-15 16:11:22:233
0.7135,9.9551,0.5315,-0.1636,0.2008,0.027,0.0202,0.0362,-0.0352,125,2019-05-15 16:11:22:243
0.7997,9.9886,0.3879,-0.0722,0.2337,-0.114,0.0192,0.0447,-0.0277,134,2019-05-15 16:11:22:252
0.7997,9.9886,0.3879,-0.0722,0.2337,-0.114,0.0181,0.0565,-0.0256,144,2019-05-15 16:11:22:262
0.838,9.9934,0.4453,-3.0E-4,0.2715,-0.0642,0.0128,0.0746,-0.0256,155,2019-05-15 16:11:22:273
0.838,9.9934,0.4453,-0.0257,0.2376,-0.0542,0.0053,0.082,-0.0256,165,2019-05-15 16:11:22:283
0.7374,9.9695,0.5507,-0.1217,0.2133,0.0508,0.0032,0.0767,-0.0213,174,2019-05-15 16:11:22:292
0.7374,9.9695,0.5507,-0.1217,0.2133,0.0508,-0.0021,0.0639,-0.0064,184,2019-05-15 16:11:22:302
0.7757,9.9838,0.4645,-0.1195,0.2515,0.0309,-0.0053,0.0522,0.0043,194,2019-05-15 16:11:22:312
0.7757,9.9838,0.4645,0.0097,0.2851,0.0338,-0.0053,0.0522,0.0043,204,2019-05-15 16:11:22:322
0.8475,10.1323,0.5028,0.0097,0.2851,0.0338,-0.0107,0.0501,0.0117,214,2019-05-15 16:11:22:332
