ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
4.9959,-3.9124,6.6225,-1.2639,-0.0196,1.5535,-1.5814,0.0025,0.3436,1,2019-06-21 10:29:42:741
4.9959,-3.9124,6.6225,-1.2639,-0.0196,1.5535,-1.5814,0.0025,0.3436,10,2019-06-21 10:29:42:750
5.0818,-3.8359,6.278,-1.4686,-0.3395,1.9828,-1.3651,-0.0188,0.5577,18,2019-06-21 10:29:42:758
5.0818,-3.8359,6.278,-1.4686,-0.3395,1.9828,-1.3651,-0.0188,0.5577,26,2019-06-21 10:29:42:766
5.2393,-3.9124,5.8857,-1.4686,-0.3395,1.9828,-1.1041,-0.0252,0.857,34,2019-06-21 10:29:42:774
5.2393,-3.9124,5.8857,-1.6247,-0.2974,2.2136,-0.8506,0.0281,1.0754,42,2019-06-21 10:29:42:782
5.2871,-4.1707,5.6273,-1.6247,-0.2974,2.2136,-0.8506,0.0281,1.0754,50,2019-06-21 10:29:42:790
5.1534,-4.5152,5.5412,-1.6123,-0.1676,2.4524,-0.6429,0.0611,1.2235,57,2019-06-21 10:29:42:797
5.1534,-4.5152,5.5412,-1.6123,-0.1676,2.4524,-0.4671,0.0781,1.3598,66,2019-06-21 10:29:42:806
4.8909,-4.0751,5.8283,-1.4019,-0.6512,2.0283,-0.4671,0.0781,1.3598,73,2019-06-21 10:29:42:813
4.8909,-4.0751,5.8283,-1.4019,-0.6512,2.0283,-0.2796,0.0398,1.6133,82,2019-06-21 10:29:42:822
4.8861,-4.6731,6.211,-1.4019,-0.6512,2.0283,-0.1092,-0.1328,1.7721,89,2019-06-21 10:29:42:829
4.5807,-4.8118,6.2206,-1.2043,-0.2264,1.4147,0.1209,-0.1786,1.9628,98,2019-06-21 10:29:42:838
4.5807,-4.8118,6.2206,-1.2043,-0.2264,1.4147,0.1209,-0.1786,1.9628,105,2019-06-21 10:29:42:845
4.1321,-4.8261,6.2015,-1.0336,-0.1772,1.7596,0.1976,-0.3224,2.0725,114,2019-06-21 10:29:42:854
4.1321,-4.8261,6.2015,-1.0336,-0.1772,1.7596,0.3329,-0.4236,2.196,122,2019-06-21 10:29:42:862
3.5307,-5.1132,6.3546,-0.4398,0.0624,1.6288,0.5257,-0.5514,2.342,130,2019-06-21 10:29:42:870
3.5307,-5.1132,6.3546,-0.4398,0.0624,1.6288,0.5257,-0.5514,2.342,138,2019-06-21 10:29:42:878
3.335,-5.3093,6.345,-0.4398,0.0624,1.6288,0.7047,-0.6963,2.4996,146,2019-06-21 10:29:42:886
3.335,-5.3093,6.345,-0.0925,0.2364,1.3937,0.8613,-0.8806,2.5859,154,2019-06-21 10:29:42:894
2.853,-5.2806,6.3929,-0.0925,0.2364,1.3937,1.0413,-1.0159,2.6935,163,2019-06-21 10:29:42:903
2.853,-5.2806,6.3929,-0.0925,0.2364,1.3937,1.0413,-1.0159,2.6935,170,2019-06-21 10:29:42:910
2.9055,-5.338,6.4838,-0.1076,0.2172,1.402,1.1681,-1.1565,2.8032,179,2019-06-21 10:29:42:919
2.9055,-5.338,6.4838,-0.1076,0.2172,1.402,1.3055,-1.2598,2.8906,185,2019-06-21 10:29:42:925
3.1775,-5.1993,7.0005,-0.5082,-0.0609,0.9839,1.4567,-1.2055,2.9481,194,2019-06-21 10:29:42:934
3.3684,-4.6587,6.8618,-0.5082,-0.0609,0.9839,1.5324,-0.9957,2.9289,202,2019-06-21 10:29:42:942
3.3684,-4.6587,6.8618,-0.5082,-0.0609,0.9839,1.5324,-0.9957,2.9289,210,2019-06-21 10:29:42:950
2.7336,-3.8358,7.2685,-0.4824,-0.8769,0.9473,1.5356,-0.6303,2.8118,218,2019-06-21 10:29:42:958
2.7336,-3.8358,7.2685,-0.4824,-0.8769,0.9473,1.4855,-0.0785,2.5827,226,2019-06-21 10:29:42:966
1.7839,-3.3048,7.9431,0.7562,-1.652,0.0108,1.428,0.24,2.4102,234,2019-06-21 10:29:42:974
3.1154,-2.3193,9.6035,0.7562,-1.652,0.0108,1.428,0.24,2.4102,242,2019-06-21 10:29:42:982
3.1154,-2.3193,9.6035,0.7562,-1.652,0.0108,1.0232,2.7775,1.1414,250,2019-06-21 10:29:42:990
-6.969,0.0344,17.4411,3.567,-4.0687,15.6172,0.8101,9.3694,-2.4389,257,2019-06-21 10:29:42:997
-6.969,0.0344,17.4411,3.567,-4.0687,15.6172,0.8101,9.3694,-2.4389,266,2019-06-21 10:29:43:006
-20.4325,2.2016,11.7136,21.3235,-6.7565,-3.071,0.2945,5.8455,-3.6192,273,2019-06-21 10:29:43:013
-20.4325,2.2016,11.7136,21.3235,-6.7565,-3.071,-0.9806,1.1487,-2.1364,282,2019-06-21 10:29:43:022
-12.0232,-2.8216,25.1304,21.3235,-6.7565,-3.071,-1.3918,-3.2434,-0.4373,290,2019-06-21 10:29:43:030
-12.0232,-2.8216,25.1304,10.1897,0.5624,-15.3637,0.2466,-3.7898,-0.0485,298,2019-06-21 10:29:43:038
-0.5499,-7.3521,15.4315,10.1897,0.5624,-15.3637,0.2466,-3.7898,-0.0485,306,2019-06-21 10:29:43:046
1.9413,-3.2426,-0.5644,1.0065,-0.2823,6.8026,1.0946,-4.1787,-1.0509,314,2019-06-21 10:29:43:054
