ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
8.47591,-0.33486,8.22128,-0.9145,-0.34187,-2.5704,-2.05671,-3.36374,2.82074,3,2019-06-21 10:49:54:984
8.2182,-0.71279,7.18775,-0.1294,-0.265,-2.21651,-1.99172,-3.93153,3.16695,11,2019-06-21 10:49:54:992
8.2182,-0.71279,7.18775,0.19939,-0.27443,-1.92584,-1.99172,-3.93153,3.16695,19,2019-06-21 10:49:55:000
8.25639,-1.42561,6.33126,0.19939,-0.27443,-1.92584,-1.91396,-4.47588,3.55897,27,2019-06-21 10:49:55:008
8.43299,-2.28673,5.56568,0.19939,-0.27443,-1.92584,-1.82235,-4.77948,3.7848,35,2019-06-21 10:49:55:016
8.43299,-2.28673,5.56568,0.21086,0.27025,-1.38792,-1.51023,-5.35898,4.21624,43,2019-06-21 10:49:55:024
8.68594,-3.19091,4.19242,0.21086,0.27025,-1.38792,-1.51023,-5.35898,4.21624,50,2019-06-21 10:49:55:031
8.99617,-4.14293,2.77132,-0.03871,0.87338,-0.09979,-1.26841,-5.63062,4.46657,59,2019-06-21 10:49:55:040
8.99617,-4.14293,2.77132,-0.03871,0.87338,-0.09979,-0.95949,-5.80639,4.74248,67,2019-06-21 10:49:55:048
9.18709,-5.27674,1.42198,-0.30073,1.67315,0.86673,-0.6921,-5.80426,4.92783,75,2019-06-21 10:49:55:056
9.18709,-5.27674,1.42198,-0.30073,1.67315,0.86673,-0.6921,-5.80426,4.92783,83,2019-06-21 10:49:55:064
8.91983,-6.15222,0.20184,-0.30073,1.67315,0.86673,-0.41727,-5.72649,5.12171,91,2019-06-21 10:49:55:072
8.91983,-6.15222,0.20184,-0.45693,2.19995,1.56464,-0.07532,-5.43568,5.35074,99,2019-06-21 10:49:55:080
9.11552,-7.30516,-0.74078,-0.45693,2.19995,1.56464,-0.07532,-5.43568,5.35074,107,2019-06-21 10:49:55:088
9.40666,-8.12323,-1.04701,-1.55578,2.75285,1.54368,0.22402,-5.12356,5.47644,115,2019-06-21 10:49:55:096
9.40666,-8.12323,-1.04701,-1.55578,2.75285,1.54368,0.56384,-4.6623,5.52544,124,2019-06-21 10:49:55:105
10.07961,-8.74993,-2.23844,-1.55578,2.75285,1.54368,0.56384,-4.6623,5.52544,131,2019-06-21 10:49:55:112
10.07961,-8.74993,-2.23844,-2.81142,2.17713,1.93439,0.97823,-3.81648,5.4594,138,2019-06-21 10:49:55:119
10.15598,-8.54901,-2.40591,-3.00456,1.4693,1.84794,1.32657,-2.84496,5.32944,147,2019-06-21 10:49:55:128
9.69782,-7.98928,-2.63558,-3.00456,1.4693,1.84794,1.5034,-2.12164,5.24102,155,2019-06-21 10:49:55:136
9.69782,-7.98928,-2.63558,-3.00456,1.4693,1.84794,1.59608,-1.37915,5.17071,165,2019-06-21 10:49:55:146
9.04398,-7.53002,-3.1045,-2.83215,-0.03554,2.46293,1.59608,-1.37915,5.17071,171,2019-06-21 10:49:55:152
8.42833,-7.18557,-3.06143,-2.83215,-0.03554,2.46293,1.66213,-0.52268,5.06418,180,2019-06-21 10:49:55:161
8.42833,-7.18557,-3.06143,-2.54492,-1.22935,2.33772,1.73989,0.42327,4.86711,187,2019-06-21 10:49:55:168
7.36405,-6.8172,-2.60686,-2.54492,-1.22935,2.33772,1.77611,1.29359,4.62956,195,2019-06-21 10:49:55:176
5.80171,-6.34815,-2.08579,-2.54492,-1.22935,2.33772,1.77611,1.29359,4.62956,203,2019-06-21 10:49:55:184
5.80171,-6.34815,-2.08579,-0.74649,-2.41362,2.00515,1.66751,2.03289,4.38882,210,2019-06-21 10:49:55:191
4.46537,-6.10416,-1.87047,-0.74649,-2.41362,2.00515,1.55139,2.27257,4.27057,219,2019-06-21 10:49:55:200
4.46537,-6.10416,-1.87047,1.08124,-3.04859,1.53164,1.55139,2.27257,4.27057,227,2019-06-21 10:49:55:208
2.58496,-5.88888,-1.01398,1.08124,-3.04859,1.53164,1.41504,2.54421,4.08096,235,2019-06-21 10:49:55:216
1.26771,-6.1807,0.07218,1.08124,-3.04859,1.53164,1.4225,2.58682,3.89773,244,2019-06-21 10:49:55:225
1.26771,-6.1807,0.07218,2.21488,-3.11552,0.71161,1.38415,2.36418,3.69853,251,2019-06-21 10:49:55:232
0.12705,-6.05153,0.4119,2.21488,-3.11552,0.71161,1.38415,2.36418,3.69853,259,2019-06-21 10:49:55:240
0.12705,-6.05153,0.4119,3.15303,-3.51094,0.64645,1.26164,1.91358,3.49506,267,2019-06-21 10:49:55:248
-0.75589,-5.92236,0.57937,3.15303,-3.51094,0.64645,1.13381,1.3394,3.31823,275,2019-06-21 10:49:55:256
-1.43361,-5.79798,1.24925,3.15303,-3.51094,0.64645,1.10292,0.7567,3.17335,283,2019-06-21 10:49:55:264
-1.43361,-5.79798,1.24925,3.03182,-3.68801,0.36244,1.11464,0.26562,2.99119,291,2019-06-21 10:49:55:272
-1.21886,-5.79319,0.62721,3.03182,-3.68801,0.36244,1.11464,0.26562,2.99119,298,2019-06-21 10:49:55:279
