0.067304 -0.421913 0.995988 1096 989 278 366, 0.063094 -0.199230 1.069819 1082 737 275 278, 0.058487 0.014566 1.129859 1071 526 272 205, 0.066879 0.159554 1.128405 1079 389 275 158, -0.082193 -0.103833 1.113626 939 639 226 244, -0.103909 -0.304783 1.037964 916 851 216 318, -0.047118 -0.411363 0.895693 975 1027 234 379, -0.033292 -0.429289 0.858550 993 1071 239 393, 0.229452 -0.107318 1.072803 1246 645 332 246, 0.267306 -0.311607 0.996140 1309 870 352 325, 0.296933 -0.486876 0.968080 1352 1073 365 394, 0.300758 -0.484515 0.955953 1361 1077 368 395, -0.006450 -0.410312 0.984512 1018 982 251 363, -0.081725 -0.571809 0.622455 -2147483648 -2147483648 208 524, -0.152516 -0.728024 0.293091 -2147483648 -2147483648 -2945 15481, -0.162662 -0.681073 0.181664 -2147483648 -2147483648 -87466 367500, 0.137738 -0.412283 0.957327 1180 996 306 368, 0.343948 -0.547300 0.641558 -2147483648 -2147483648 432 494, 0.538547 -0.678712 0.358064 -2147483648 -2147483648 6920 8611, 0.529178 -0.635819 0.245468 -2147483648 -2147483648 88825 106630, 0.059704 -0.037769 1.116864 1074 575 273 222, -0.007100 -0.454811 0.786187 1031 1154 250 422, 0.002774 -0.392562 0.852619 1038 1028 254 379, 0.302162 -0.491582 0.941459 1369 1093 370 400, 0.290742 -0.476680 0.910667 1369 1094 370 401
0.075917 -0.403766 1.039538 1100 951 280 353, 0.066749 -0.192344 1.085531 1084 727 276 275, 0.058472 0.014625 1.128125 1071 526 272 205, 0.066820 0.158929 1.125196 1079 390 275 158, -0.081493 -0.096986 1.115471 940 632 227 241, -0.108069 -0.302196 1.039896 911 848 215 316, -0.047490 -0.407039 0.898480 975 1020 234 376, -0.030867 -0.427929 0.860375 996 1068 240 392, 0.229737 -0.100360 1.075146 1246 638 332 244, 0.271503 -0.299055 1.003840 1311 854 353 319, 0.187843 -0.404433 0.875179 1260 1029 332 379, 0.209159 -0.438971 0.846145 1297 1090 344 400, 0.002308 -0.393804 1.027152 1025 946 254 351, -0.052782 -0.386300 0.648342 969 1173 223 427, -0.104915 -0.386307 0.308132 -2147483648 -2147483648 147 600, -0.113067 -0.340458 0.191629 -2147483648 -2147483648 -230 1666, 0.146084 -0.394364 1.003449 1179 956 307 354, 0.224210 -0.364015 0.629636 1436 1153 382 419, 0.299995 -0.341633 0.293660 -2147483648 -2147483648 633 642, 0.280490 -0.297760 0.178503 -2147483648 -2147483648 5047 5298, 0.060277 -0.036753 1.117057 1074 574 273 222, -0.007372 -0.455237 0.788496 1030 1153 250 421, 0.001477 -0.393478 0.855065 1036 1028 254 379, 0.209699 -0.449878 0.797149 1319 1138 349 416, 0.164215 -0.403906 0.839256 1243 1050 325 386
0.076203 -0.402635 1.039218 1100 950 280 352, 0.067370 -0.191012 1.086866 1085 725 276 274, 0.058553 0.014696 1.127733 1072 525 272 205, 0.066886 0.158629 1.124438 1079 390 275 158, -0.081238 -0.095163 1.115965 940 630 227 241, -0.109601 -0.300457 1.041139 910 846 215 316, -0.047620 -0.404408 0.900116 974 1016 234 375, -0.029977 -0.426174 0.862032 997 1065 240 391, 0.229642 -0.100067 1.074849 1246 637 332 244, 0.271733 -0.296355 1.004830 1311 851 353 318, 0.189321 -0.403111 0.877049 1262 1027 333 379, 0.210754 -0.437596 0.850606 1298 1085 344 398, 0.002769 -0.392494 1.027160 1026 945 254 350, -0.056008 -0.387445 0.651587 964 1172 222 427, -0.111427 -0.389523 0.315064 -2147483648 -2147483648 143 594, -0.119720 -0.344288 0.198779 -2147483648 -2147483648 -185 1474, 0.146230 -0.393690 1.003261 1179 955 307 354, 0.226453 -0.366451 0.632432 1438 1154 383 420, 0.303884 -0.346871 0.299922 -2147483648 -2147483648 624 633, 0.284677 -0.303473 0.184937 -2147483648 -2147483648 4394 4624, 0.060679 -0.036190 1.117670 1075 574 273 221, -0.005951 -0.454758 0.786409 1032 1154 250 421, 0.003852 -0.394077 0.853540 1039 1029 255 379, 0.215583 -0.450242 0.802236 1324 1135 351 414, 0.164927 -0.402759 0.840168 1244 1048 325 386
0.076290 -0.402642 1.038864 1100 950 280 352, 0.067488 -0.190886 1.086941 1085 725 276 274, 0.058570 0.014737 1.127593 1072 525 272 205, 0.066923 0.158515 1.124167 1079 390 275 158, -0.081418 -0.094753 1.116155 940 630 227 241, -0.110245 -0.299884 1.041511 909 845 214 315, -0.048974 -0.403967 0.900599 973 1016 233 375, -0.031230 -0.426078 0.862411 995 1064 240 391, 0.229613 -0.099953 1.074750 1246 637 332 244, 0.272012 -0.295795 1.005221 1311 850 353 318, 0.189812 -0.402441 0.877568 1262 1025 333 378, 0.211734 -0.437821 0.850839 1299 1085 344 398, 0.002726 -0.393038 1.026770 1026 945 254 350, -0.057755 -0.386139 0.652674 961 1169 221 426, -0.114741 -0.386472 0.317767 -2147483648 -2147483648 141 588, -0.123031 -0.341393 0.201582 -2147483648 -2147483648 -149 1330, 0.146366 -0.393709 1.002991 1179 955 307 354, 0.227128 -0.366712 0.633452 1439 1154 383 419, 0.304973 -0.347336 0.302376 -2147483648 -2147483648 618 625, 0.285839 -0.304089 0.187507 -2147483648 -2147483648 4062 4261, 0.060761 -0.036038 1.117798 1075 573 273 221, -0.001649 -0.455850 0.788253 1038 1154 252 421, 0.001687 -0.392954 0.857197 1036 1026 254 378, 0.219425 -0.450547 0.803938 1329 1134 353 414, 0.165148 -0.403598 0.839866 1244 1049 325 386
0.076017 -0.402568 1.038536 1100 950 280 352, 0.067381 -0.190777 1.087263 1085 725 276 274, 0.058629 0.014660 1.127328 1072 525 272 205, 0.067110 0.157950 1.123749 1080 390 275 158, -0.081370 -0.094289 1.116296 940 629 227 241, -0.110775 -0.299471 1.041872 909 845 214 315, -0.050224 -0.404062 0.901623 971 1015 233 375, -0.032465 -0.426392 0.862706 994 1064 239 391, 0.229594 -0.099685 1.074650 1246 637 332 244, 0.272536 -0.294704 1.006045 1311 849 353 317, 0.190336 -0.401379 0.879063 1262 1023 333 377, 0.212883 -0.436057 0.855595 1298 1080 344 396, 0.002209 -0.393983 1.026037 1025 947 254 351, -0.060383 -0.384304 0.654246 957 1164 219 425, -0.119300 -0.382021 0.321850 -2147483648 -2147483648 138 580, -0.127559 -0.337197 0.205844 -2147483648 -2147483648 -103 1154, 0.146145 -0.393031 1.003323 1179 954 307 354, 0.227588 -0.368902 0.635652 1438 1155 383 420, 0.305892 -0.352139 0.306683 -2147483648 -2147483648 610 620, 0.286977 -0.309181 0.192013 -2147483648 -2147483648 3670 3891, 0.060832 -0.036007 1.117991 1075 573 273 221, -0.005642 -0.455244 0.787092 1032 1154 251 421, 0.001144 -0.393855 0.854312 1035 1029 254 379, 0.219322 -0.451149 0.809682 1326 1131 352 413, 0.169630 -0.398017 0.844454 1248 1039 327 383
0.075871 -0.402459 1.038448 1100 950 280 352, 0.067368 -0.190736 1.087452 1085 725 276 274, 0.058750 0.014514 1.127262 1072 526 272 205, 0.067329 0.157429 1.123360 1080 391 275 158, -0.081305 -0.093764 1.116586 940 629 227 240, -0.111070 -0.299224 1.042098 908 844 214 315, -0.050554 -0.403493 0.901791 971 1015 233 374, -0.033076 -0.424951 0.865283 993 1061 239 390, 0.229592 -0.099564 1.074643 1246 637 332 244, 0.272633 -0.294539 1.006218 1311 849 353 317, 0.190565 -0.401111 0.879292 1262 1023 333 377, 0.213939 -0.436303 0.856414 1299 1080 345 396, 0.002031 -0.394072 1.025831 1025 947 254 351, -0.059319 -0.384192 0.654494 958 1164 220 424, -0.117050 -0.381726 0.322640 -2147483648 -2147483648 140 579, -0.125392 -0.336949 0.206701 -2147483648 -2147483648 -84 1120, 0.145995 -0.392606 1.003485 1178 954 307 354, 0.230380 -0.370396 0.637015 1441 1156 384 420, 0.311301 -0.355337 0.309296 -2147483648 -2147483648 616 624, 0.292490 -0.312572 0.194737 -2147483648 -2147483648 3701 3894, 0.060950 -0.036095 1.118175 1075 573 273 221, -0.014419 -0.446118 0.790606 1020 1139 247 416, 0.001191 -0.394086 0.853680 1036 1029 254 379, 0.222016 -0.451600 0.811669 1328 1130 353 413, 0.169703 -0.398850 0.844054 1248 1040 327 383
0.075762 -0.402361 1.038528 1100 950 280 352, 0.067402 -0.190667 1.087730 1085 725 276 274, 0.058840 0.014464 1.127339 1072 526 272 205, 0.067395 0.157329 1.123314 1080 391 275 158, -0.081175 -0.093480 1.116868 940 628 227 240, -0.111130 -0.299291 1.042127 908 844 214 315, -0.049900 -0.403656 0.902282 972 1014 233 374, -0.031480 -0.426251 0.864103 995 1063 240 391, 0.229617 -0.099496 1.074714 1246 637 332 244, 0.272781 -0.294466 1.006510 1311 849 353 317, 0.190713 -0.400924 0.879557 1262 1023 333 377, 0.212774 -0.436430 0.856304 1298 1080 344 396, 0.001967 -0.394078 1.025841 1025 947 254 351, -0.050352 -0.385117 0.653341 973 1166 225 425, -0.099603 -0.383599 0.320453 -2147483648 -2147483648 156 583, -0.108262 -0.338668 0.204464 -2147483648 -2147483648 -41 1133, 0.145888 -0.392304 1.003749 1178 954 307 353, 0.230455 -0.371469 0.637468 1441 1158 384 421, 0.311505 -0.357668 0.309972 -2147483648 -2147483648 617 627, 0.292722 -0.314950 0.195446 -2147483648 -2147483648 3710 3929, 0.061062 -0.036108 1.118443 1075 573 273 221, -0.007459 -0.454899 0.787303 1030 1154 250 421, 0.001254 -0.394218 0.854160 1036 1029 254 379, 0.220329 -0.451725 0.812372 1326 1129 352 413, 0.167829 -0.399769 0.843779 1246 1042 326 384
0.075524 -0.401984 1.038673 1099 950 280 352, 0.067412 -0.190449 1.088140 1085 725 276 274, 0.058981 0.014379 1.127344 1072 526 272 205, 0.067575 0.157119 1.123116 1080 391 275 158, -0.080881 -0.092527 1.117955 940 627 227 240, -0.111332 -0.299396 1.042458 908 844 214 315, -0.050568 -0.403664 0.902339 971 1014 233 374, -0.032255 -0.426435 0.863484 994 1064 239 391, 0.229620 -0.099339 1.074878 1246 637 332 244, 0.272781 -0.294390 1.006903 1311 848 353 317, 0.190759 -0.400872 0.879952 1262 1022 333 377, 0.212128 -0.436122 0.855331 1298 1080 344 397, 0.001805 -0.393966 1.025831 1025 947 254 351, -0.051294 -0.384411 0.653776 971 1165 225 425, -0.101267 -0.382324 0.321400 -2147483648 -2147483648 155 581, -0.110086 -0.337477 0.205427 -2147483648 -2147483648 -36 1100, 0.145675 -0.391517 1.004236 1178 952 307 353, 0.225624 -0.372734 0.637142 1433 1160 382 422, 0.302385 -0.360883 0.308975 -2147483648 -2147483648 604 629, 0.283479 -0.318107 0.194419 -2147483648 -2147483648 3532 3889, 0.061193 -0.036090 1.118754 1075 573 273 221, -0.008409 -0.454392 0.786236 1029 1154 249 421, 0.001197 -0.393845 0.854570 1035 1029 254 379, 0.220268 -0.450532 0.811309 1326 1129 352 412, 0.167892 -0.400701 0.842699 1247 1044 326 384
0.075485 -0.401909 1.038708 1099 950 280 352, 0.067420 -0.190396 1.088281 1085 725 276 274, 0.059010 0.014360 1.127352 1072 526 272 205, 0.067602 0.157052 1.123068 1080 391 275 159, -0.080853 -0.093207 1.117623 940 628 227 240, -0.111415 -0.299503 1.042644 908 844 214 315, -0.050678 -0.403684 0.902440 971 1014 233 374, -0.032440 -0.426109 0.864040 994 1063 239 391, 0.229603 -0.099306 1.074941 1246 637 332 244, 0.272771 -0.294472 1.007056 1311 848 353 317, 0.190581 -0.401008 0.880258 1262 1022 333 377, 0.212824 -0.436150 0.856422 1298 1079 344 396, 0.001756 -0.394011 1.025874 1025 947 254 351, -0.056624 -0.383481 0.654715 963 1162 222 424, -0.111549 -0.380431 0.323197 -2147483648 -2147483648 145 578, -0.120164 -0.335700 0.207252 -2147483648 -2147483648 -54 1070, 0.145662 -0.391294 1.004326 1178 952 307 353, 0.226643 -0.373511 0.637490 1435 1161 382 422, 0.304323 -0.362554 0.309596 -2147483648 -2147483648 608 633, 0.285509 -0.319844 0.195054 -2147483648 -2147483648 3611 3972, 0.061225 -0.036083 1.118867 1075 573 273 221, -0.007988 -0.454958 0.787406 1029 1154 250 421, 0.001137 -0.393844 0.854455 1035 1029 254 379, 0.219243 -0.450207 0.811184 1325 1128 352 412, 0.167502 -0.400356 0.842990 1246 1043 326 384
0.075465 -0.401843 1.038782 1099 950 280 352, 0.067413 -0.190351 1.088397 1085 725 276 274, 0.059014 0.014354 1.127354 1072 526 272 205, 0.067601 0.157015 1.123086 1080 391 275 159, -0.080792 -0.093106 1.117840 941 628 227 240, -0.111433 -0.299496 1.042800 908 844 214 315, -0.050799 -0.403567 0.902472 971 1014 233 374, -0.032003 -0.426226 0.863556 994 1064 240 391, 0.229589 -0.099266 1.075021 1246 636 332 243, 0.272762 -0.294505 1.007146 1311 848 353 317, 0.190539 -0.401019 0.880359 1262 1022 333 377, 0.213279 -0.436059 0.856498 1299 1079 344 396, 0.001748 -0.394002 1.025891 1025 947 254 351, -0.057902 -0.383253 0.655001 961 1162 221 424, -0.114015 -0.379984 0.323747 -2147483648 -2147483648 143 577, -0.122628 -0.335304 0.207815 -2147483648 -2147483648 -57 1061, 0.145648 -0.391160 1.004492 1178 952 307 353, 0.228655 -0.374164 0.638132 1438 1162 383 422, 0.308168 -0.363892 0.310706 -2147483648 -2147483648 615 636, 0.289373 -0.321286 0.196186 -2147483648 -2147483648 3700 4036, 0.061228 -0.036071 1.118938 1075 573 273 221, -0.010677 -0.454305 0.786278 1026 1154 248 421, 0.001012 -0.394079 0.854196 1035 1029 254 379, 0.220706 -0.448688 0.808828 1328 1128 353 412, 0.168480 -0.399278 0.843809 1247 1041 327 384
