0.068977 -0.457732 1.168965 1079 955 275 354, 0.056134 -0.147836 1.185806 1065 671 271 255, 0.043086 0.148894 1.183976 1052 406 267 164, 0.039339 0.292765 1.192993 1048 279 265 120, -0.123473 0.020627 1.165943 902 521 215 203, -0.223699 -0.077255 1.056615 795 618 176 236, -0.238105 0.069473 1.027756 775 469 168 185, -0.246109 0.159585 1.032977 768 377 166 153, 0.218743 0.026944 1.151654 1217 514 323 201, 0.322637 -0.047728 1.059840 1343 586 365 226, 0.304775 0.133493 1.027941 1336 401 362 162, 0.302462 0.196271 1.024559 1334 335 362 139, -0.012027 -0.446425 1.141081 1006 954 249 354, -0.069869 -0.346376 0.825832 946 985 222 364, 0.096230 -0.580607 0.740666 1183 1375 299 488, 0.030195 -0.468854 0.742683 1088 1211 268 440, 0.146143 -0.443534 1.131717 1155 955 301 354, 0.136695 -0.342559 0.830960 1210 976 314 361, 0.069117 -0.607002 0.704622 -2147483648 -2147483648 287 510, 0.003009 -0.491897 0.696496 1054 1291 255 465, 0.046370 0.076695 1.187036 1055 471 267 186, -0.257130 0.234248 1.053411 760 305 164 128, -0.293311 0.141778 1.038800 720 396 150 160, 0.302516 0.271087 1.018033 1337 256 363 112, 0.250291 0.191789 1.055500 1271 346 340 143
0.063569 -0.358232 1.159977 1074 867 273 323, 0.053624 -0.102991 1.175530 1063 632 270 242, 0.042890 0.148117 1.177141 1053 406 267 164, 0.039011 0.289707 1.180380 1049 279 265 120, -0.124153 0.020602 1.161075 902 521 214 203, -0.223333 -0.077205 1.059039 796 618 176 236, -0.226212 0.105137 1.060644 793 435 175 173, -0.226218 0.161727 1.071271 794 380 176 154, 0.217956 0.026922 1.145840 1217 514 323 201, 0.321460 -0.063117 1.068760 1339 601 364 231, 0.298656 0.118300 1.054415 1320 419 357 168, 0.289640 0.181448 1.070171 1306 359 353 147, -0.016499 -0.350531 1.135113 1002 867 248 323, -0.069492 -0.344519 0.821036 947 985 222 364, -0.146805 -0.348516 0.407486 -2147483648 -2147483648 130 503, -0.147003 -0.317462 0.276866 -2147483648 -2147483648 88 567, 0.140418 -0.347771 1.126098 1150 866 299 323, 0.137512 -0.340549 0.825724 1213 976 314 361, 0.138841 -0.343798 0.387517 -2147483648 -2147483648 375 511, 0.126988 -0.312248 0.256996 -2147483648 -2147483648 407 588, 0.045933 0.082954 1.178852 1055 465 267 184, -0.231773 0.242639 1.100706 793 307 176 129, -0.278161 0.151629 1.080400 745 392 159 158, 0.294941 0.257603 1.072470 1310 283 354 121, 0.244337 0.156585 1.103369 1252 388 334 158
0.062716 -0.356435 1.158670 1074 865 273 323, 0.053449 -0.101164 1.174760 1063 631 270 241, 0.043235 0.148279 1.176796 1053 406 267 164, 0.039045 0.289486 1.179473 1049 279 265 120, -0.124315 0.020670 1.160856 901 521 214 203, -0.219985 -0.086877 1.066089 801 627 178 240, -0.220538 0.095478 1.064148 799 445 177 177, -0.214807 0.153749 1.075385 806 389 180 157, 0.218318 0.027436 1.145762 1218 513 323 201, 0.319692 -0.067309 1.074965 1335 605 362 233, 0.296963 0.113873 1.064944 1315 425 356 170, 0.287571 0.175642 1.078233 1301 366 351 150, -0.017267 -0.349072 1.134206 1001 866 248 323, -0.070654 -0.345573 0.822272 945 986 222 364, -0.150018 -0.353160 0.403660 -2147483648 -2147483648 127 507, -0.150265 -0.322031 0.272381 -2147483648 -2147483648 81 578, 0.139562 -0.345888 1.125009 1149 865 299 323, 0.137466 -0.340299 0.825139 1213 976 315 361, 0.140039 -0.346033 0.383140 -2147483648 -2147483648 377 514, 0.128228 -0.314389 0.251900 -2147483648 -2147483648 413 601, 0.046305 0.084623 1.178506 1056 463 268 183, -0.215597 0.234902 1.105721 810 315 182 132, -0.261578 0.142243 1.078529 761 401 164 161, 0.296374 0.253590 1.086874 1307 291 353 124, 0.242910 0.152137 1.116583 1247 394 333 160
0.061729 -0.355162 1.157025 1073 865 273 322, 0.053118 -0.099699 1.173966 1063 629 270 241, 0.044063 0.148312 1.177290 1054 406 267 164, 0.039761 0.289029 1.179584 1049 279 266 120, -0.124534 0.021032 1.161340 901 521 214 203, -0.214784 -0.094457 1.071975 807 634 180 242, -0.206955 0.087659 1.066013 813 453 182 180, -0.201928 0.150134 1.070073 818 392 184 158, 0.219566 0.028651 1.146804 1219 512 323 201, 0.319844 -0.069846 1.080181 1333 607 362 233, 0.295803 0.110818 1.072656 1311 429 354 172, 0.285389 0.175959 1.079086 1299 365 350 150, -0.018798 -0.348351 1.133078 1000 865 247 323, -0.069973 -0.345495 0.821873 946 986 222 364, -0.147011 -0.353994 0.399074 -2147483648 -2147483648 128 510, -0.147305 -0.322586 0.266825 -2147483648 -2147483648 81 587, 0.138925 -0.344499 1.123794 1149 864 299 322, 0.136870 -0.340035 0.824254 1213 977 314 361, 0.139424 -0.347409 0.379237 -2147483648 -2147483648 377 517, 0.127818 -0.315544 0.247060 -2147483648 -2147483648 417 614, 0.046638 0.086295 1.178722 1056 462 268 183, -0.200679 0.226438 1.099052 823 322 186 134, -0.258705 0.147099 1.090333 766 397 166 160, 0.289517 0.252117 1.090648 1299 293 351 125, 0.242579 0.150770 1.116968 1247 395 333 160
0.061595 -0.355031 1.156870 1073 865 273 322, 0.053121 -0.099482 1.173990 1063 629 270 241, 0.044340 0.148321 1.177559 1054 406 267 164, 0.040009 0.288981 1.179735 1049 280 266 120, -0.124486 0.021127 1.161471 901 521 214 203, -0.214231 -0.094659 1.072053 807 634 180 242, -0.205788 0.087397 1.065982 814 453 183 180, -0.201400 0.149275 1.071081 819 392 184 159, 0.219716 0.028790 1.146940 1219 512 323 200, 0.319567 -0.070345 1.080595 1333 607 362 234, 0.295571 0.110285 1.072802 1311 429 354 172, 0.286490 0.175719 1.078105 1300 366 351 150, -0.019033 -0.348235 1.132965 999 865 247 323, -0.069497 -0.345200 0.821210 947 986 222 364, -0.145304 -0.353408 0.398587 -2147483648 -2147483648 130 510, -0.145631 -0.321919 0.266223 -2147483648 -2147483648 82 587, 0.138879 -0.344382 1.123688 1149 864 299 322, 0.136716 -0.340055 0.824212 1212 977 314 361, 0.139082 -0.347632 0.379065 -2147483648 -2147483648 376 518, 0.127492 -0.315707 0.246799 -2147483648 -2147483648 417 615, 0.046807 0.086541 1.178910 1056 462 268 183, -0.197276 0.226659 1.099811 827 322 187 134, -0.251434 0.161177 1.079222 771 382 168 155, 0.290373 0.250741 1.086926 1301 294 351 125, 0.244128 0.151054 1.121023 1247 396 333 160
0.061446 -0.354880 1.156782 1073 864 273 322, 0.053089 -0.099316 1.173962 1063 629 270 241, 0.044398 0.148306 1.177547 1054 406 267 164, 0.040371 0.288949 1.179829 1050 280 266 120, -0.124458 0.021184 1.161567 901 521 214 203, -0.213752 -0.095015 1.072463 808 634 180 242, -0.205096 0.087001 1.066157 815 454 183 180, -0.200627 0.149607 1.071719 820 392 185 158, 0.219856 0.028860 1.147084 1219 512 323 200, 0.319296 -0.070852 1.081025 1332 608 362 234, 0.295505 0.109770 1.072900 1311 430 354 172, 0.286683 0.173722 1.078106 1301 368 351 150, -0.019266 -0.348086 1.132941 999 865 247 322, -0.069557 -0.345233 0.821362 947 986 222 364, -0.145193 -0.353700 0.398518 -2147483648 -2147483648 130 511, -0.145520 -0.322216 0.266081 -2147483648 -2147483648 82 588, 0.138820 -0.344255 1.123613 1149 864 299 322, 0.136607 -0.340087 0.824139 1212 977 314 361, 0.138880 -0.347896 0.378997 -2147483648 -2147483648 376 518, 0.127318 -0.315975 0.246660 -2147483648 -2147483648 417 616, 0.046841 0.086656 1.178890 1056 461 268 183, -0.193402 0.230245 1.099124 830 318 189 133, -0.245987 0.146323 1.072882 775 396 169 160, 0.288831 0.248617 1.088255 1299 296 351 126, 0.250851 0.135778 1.126538 1252 411 335 165
0.061138 -0.354300 1.156462 1072 864 273 322, 0.053215 -0.098792 1.173870 1063 628 270 240, 0.045242 0.148231 1.177763 1055 406 267 164, 0.040898 0.288849 1.179644 1050 280 266 120, -0.124381 0.021370 1.161702 901 520 214 203, -0.213157 -0.094537 1.072770 808 634 180 242, -0.203680 0.087315 1.066707 816 453 183 180, -0.201619 0.150956 1.073845 819 391 184 158, 0.220154 0.029100 1.147228 1219 512 323 200, 0.318747 -0.071466 1.081069 1332 608 362 234, 0.294951 0.109039 1.072705 1311 431 354 172, 0.285602 0.173539 1.075775 1300 367 351 150, -0.019683 -0.347530 1.132641 999 865 247 322, -0.069570 -0.345143 0.821127 947 986 222 364, -0.144615 -0.354248 0.398263 -2147483648 -2147483648 130 511, -0.144978 -0.322694 0.265681 -2147483648 -2147483648 83 589, 0.138692 -0.343689 1.123409 1149 863 299 322, 0.136302 -0.340125 0.823863 1212 977 314 362, 0.138254 -0.348839 0.378991 -2147483648 -2147483648 376 519, 0.126731 -0.316855 0.246513 -2147483648 -2147483648 417 618, 0.047408 0.087026 1.178961 1057 461 268 183, -0.200174 0.228822 1.100778 824 320 186 133, -0.246875 0.156998 1.079823 776 386 169 156, 0.288703 0.248485 1.089944 1299 297 351 126, 0.249923 0.134427 1.122833 1253 412 335 166
0.060889 -0.353944 1.156294 1072 864 273 322, 0.053191 -0.098512 1.173795 1063 628 270 240, 0.045345 0.148251 1.177756 1055 406 267 164, 0.040938 0.288823 1.179514 1050 280 266 120, -0.124350 0.021451 1.161698 901 520 214 203, -0.212910 -0.094390 1.072500 809 634 180 242, -0.202913 0.087381 1.066879 817 453 184 180, -0.198318 0.150576 1.071805 822 391 185 158, 0.220207 0.029245 1.147212 1219 512 324 200, 0.318492 -0.071735 1.080839 1332 609 361 234, 0.293870 0.108626 1.072477 1310 431 354 172, 0.283176 0.172564 1.073861 1298 368 350 151, -0.019944 -0.347242 1.132569 999 865 247 322, -0.068968 -0.345009 0.820703 947 986 222 364, -0.142620 -0.354316 0.397966 -2147483648 -2147483648 132 512, -0.143028 -0.322723 0.265312 -2147483648 -2147483648 85 590, 0.138510 -0.343280 1.123191 1149 863 299 322, 0.136104 -0.340137 0.823733 1212 977 314 362, 0.138011 -0.349504 0.378889 -2147483648 -2147483648 375 519, 0.126503 -0.317506 0.246367 -2147483648 -2147483648 417 620, 0.047482 0.087210 1.178916 1057 461 268 183, -0.196628 0.226369 1.099443 827 322 188 134, -0.244436 0.145965 1.070400 776 396 169 160, 0.283944 0.247631 1.087371 1295 297 349 126, 0.245789 0.142011 1.120716 1249 404 334 163
0.060774 -0.353673 1.156238 1072 864 273 322, 0.053212 -0.098279 1.173772 1063 628 270 240, 0.045490 0.148309 1.177753 1055 406 267 164, 0.040955 0.288824 1.179440 1050 280 266 120, -0.124358 0.021505 1.161695 901 520 214 203, -0.212644 -0.094585 1.072471 809 634 181 242, -0.202436 0.086480 1.067018 818 454 184 180, -0.198266 0.149149 1.073153 822 393 186 159, 0.220236 0.029441 1.147168 1219 512 324 200, 0.316698 -0.074665 1.079379 1330 612 361 235, 0.292872 0.105115 1.071913 1309 434 354 174, 0.282494 0.171034 1.075097 1297 370 350 151, -0.020052 -0.347037 1.132512 999 864 247 322, -0.069112 -0.345160 0.821114 947 986 222 364, -0.142318 -0.354857 0.401718 -2147483648 -2147483648 133 510, -0.142787 -0.323404 0.269346 -2147483648 -2147483648 88 584, 0.138423 -0.342956 1.123171 1149 863 299 322, 0.136039 -0.340144 0.823654 1212 977 314 362, 0.137929 -0.349871 0.382689 -2147483648 -2147483648 375 517, 0.126469 -0.318022 0.250438 -2147483648 -2147483648 413 610, 0.047593 0.087384 1.178897 1057 461 268 183, -0.198453 0.222602 1.101579 826 326 187 136, -0.244453 0.145627 1.073149 777 397 170 160, 0.285029 0.245990 1.088825 1295 299 349 127, 0.244836 0.140042 1.123133 1248 406 333 164
0.060029 -0.352205 1.155861 1071 862 272 322, 0.052957 -0.097343 1.173497 1063 627 270 240, 0.045539 0.148463 1.177549 1055 406 267 164, 0.040862 0.288907 1.178944 1050 279 266 120, -0.125132 0.023211 1.160989 901 519 214 202, -0.209912 -0.098364 1.073866 812 637 182 243, -0.197836 0.082776 1.069466 823 458 185 181, -0.190699 0.143115 1.083449 831 400 189 161, 0.220282 0.030425 1.146876 1219 511 324 200, 0.314805 -0.075235 1.077832 1329 612 360 235, 0.287435 0.104241 1.072332 1303 435 352 174, 0.277100 0.167667 1.079813 1291 374 347 153, -0.020817 -0.345632 1.132356 998 863 246 322, -0.069794 -0.345905 0.821792 946 986 222 365, -0.143236 -0.358723 0.401484 -2147483648 -2147483648 132 512, -0.143575 -0.327269 0.269115 -2147483648 -2147483648 87 589, 0.137806 -0.341489 1.122625 1148 861 298 321, 0.135919 -0.340120 0.823036 1212 977 314 362, 0.138571 -0.352071 0.382019 -2147483648 -2147483648 375 519, 0.127285 -0.320208 0.249751 -2147483648 -2147483648 415 616, 0.047557 0.087904 1.178638 1057 460 268 182, -0.184488 0.224161 1.111367 840 326 192 136, -0.243870 0.148052 1.084430 779 396 171 160, 0.280479 0.244118 1.095860 1289 302 347 128, 0.243163 0.122402 1.131750 1244 424 332 170
