0.065313 -0.436832 1.154522 1077 941 274 349, 0.060936 -0.127105 1.175559 1070 654 272 249, 0.055874 0.168647 1.177963 1064 388 271 157, 0.052475 0.307531 1.198046 1059 267 269 115, -0.135136 -0.015208 1.143417 890 554 210 215, -0.094956 -0.099894 0.961571 921 650 217 248, -0.059827 0.087932 0.918844 958 438 229 175, -0.074727 0.110383 0.932577 942 414 224 166, 0.195103 0.026081 1.126411 1200 514 317 201, 0.270094 -0.093877 0.981037 1316 640 354 245, 0.208211 -0.316195 0.851502 1294 932 343 346, 0.179982 -0.359625 0.818372 1270 1005 334 371, -0.012875 -0.434028 1.121362 1006 950 249 352, -0.090274 -0.360120 0.838792 921 995 214 368, 0.088708 -0.549728 0.959794 1125 1148 287 419, 0.074629 -0.470804 0.820089 1134 1149 287 420, 0.139790 -0.414884 1.122262 1150 931 299 346, 0.140184 -0.350063 0.824403 1217 989 316 366, 0.145818 -0.281302 0.479703 1409 1162 364 423, 0.131322 -0.247911 0.342269 1542 1310 389 465, 0.057231 0.096768 1.179927 1065 452 271 180, -0.078543 0.150171 0.920539 937 367 222 150, -0.072284 0.124274 0.963667 945 403 226 162, 0.141418 -0.378057 0.779489 1233 1054 320 388, 0.202771 -0.356904 0.760200 1326 1037 351 382
0.062487 -0.369951 1.144832 1075 882 273 328, 0.060215 -0.098716 1.166498 1070 629 272 241, 0.055928 0.168929 1.173267 1065 387 271 157, 0.051373 0.306561 1.189054 1059 266 269 115, -0.126089 0.004019 1.131709 898 536 213 208, -0.097251 -0.115579 0.976371 919 665 217 253, -0.078351 -0.000885 0.948962 938 541 223 210, -0.067185 0.063274 0.941079 950 469 227 185, 0.194450 0.026043 1.121071 1201 514 317 201, 0.269664 -0.081096 0.973466 1319 627 355 240, 0.234408 0.026862 0.945283 1289 508 344 199, 0.213264 0.085742 0.939258 1267 442 336 176, -0.015354 -0.363500 1.114378 1004 885 248 330, -0.090387 -0.359064 0.835933 921 996 213 368, -0.210884 -0.366621 0.435961 -2147483648 -2147483648 90 494, -0.210103 -0.334188 0.307015 -2147483648 -2147483648 40 548, 0.136965 -0.356017 1.113972 1149 878 298 327, 0.139765 -0.348710 0.820520 1217 990 316 366, 0.149872 -0.352236 0.409488 -2147483648 -2147483648 378 504, 0.138186 -0.318774 0.279753 -2147483648 -2147483648 407 565, 0.057300 0.101993 1.173834 1066 447 271 178, -0.064174 0.133951 0.949164 954 390 228 158, -0.020410 0.049549 0.930469 1004 483 245 190, 0.195470 0.156314 0.933370 1249 361 330 148, 0.256600 0.100630 0.914120 1326 422 356 169
0.062821 -0.369773 1.142904 1075 882 273 329, 0.060101 -0.097347 1.165381 1070 628 272 240, 0.055767 0.169223 1.172883 1065 386 271 157, 0.050937 0.306905 1.188296 1059 265 269 115, -0.125921 0.003868 1.131595 898 536 213 208, -0.096683 -0.114118 0.977798 920 664 217 252, -0.079377 -0.001986 0.948677 937 542 223 210, -0.071679 0.054975 0.932093 945 477 225 188, 0.194168 0.026211 1.120186 1201 514 317 201, 0.268790 -0.078309 0.973184 1318 624 355 239, 0.229536 0.100973 0.930533 1289 423 344 170, 0.219984 0.082918 0.931022 1278 444 340 177, -0.014511 -0.363942 1.112475 1004 886 248 330, -0.091406 -0.359748 0.836470 919 996 213 368, -0.213634 -0.367439 0.443598 -2147483648 -2147483648 90 491, -0.213236 -0.335275 0.315882 -2147483648 -2147483648 43 540, 0.136880 -0.355525 1.112280 1149 878 298 327, 0.139760 -0.348762 0.819574 1218 990 316 366, 0.149739 -0.352842 0.415907 -2147483648 -2147483648 377 501, 0.137985 -0.319644 0.287355 -2147483648 -2147483648 404 558, 0.057050 0.103015 1.173239 1066 446 271 178, -0.071946 0.127025 0.938195 945 396 225 160, -0.019691 0.052091 0.925474 1005 480 245 189, 0.197033 0.151280 0.926886 1252 366 331 150, 0.265878 0.103634 0.901533 1342 416 362 167
0.063054 -0.369956 1.141286 1076 883 274 329, 0.059943 -0.096932 1.164709 1070 627 272 240, 0.055603 0.169206 1.172689 1064 386 271 157, 0.050705 0.307024 1.187810 1058 265 269 115, -0.140487 -0.018018 1.135807 885 557 208 215, -0.092890 -0.104503 0.969084 923 654 218 249, -0.083825 -0.001397 0.944251 932 541 221 210, -0.087992 0.054234 0.930032 927 478 219 188, 0.193847 0.026333 1.119257 1201 514 317 201, 0.268298 -0.076971 0.974982 1317 622 354 239, 0.229712 0.099693 0.932753 1288 425 344 170, 0.228352 0.081455 0.936048 1285 446 343 178, -0.013517 -0.366615 1.110853 1005 889 249 331, -0.092500 -0.360697 0.837202 918 997 213 368, -0.212919 -0.365294 0.462871 601 1384 95 481, -0.214944 -0.333575 0.336538 -2147483648 -2147483648 52 523, 0.136526 -0.353656 1.109786 1149 877 298 327, 0.138236 -0.348584 0.818508 1216 991 315 366, 0.145933 -0.354578 0.433079 1458 1412 370 494, 0.132457 -0.321951 0.305818 -2147483648 -2147483648 392 546, 0.056838 0.103217 1.172937 1066 446 271 178, -0.090196 0.128737 0.937117 924 394 218 159, -0.032330 0.050004 0.941091 990 483 241 190, 0.218499 0.153808 0.932889 1275 364 339 149, 0.276255 0.089146 0.896100 1356 433 366 173
0.062363 -0.369330 1.138473 1075 883 273 329, 0.057884 -0.095649 1.163260 1068 626 271 240, 0.052410 0.168483 1.172010 1062 387 270 157, 0.049658 0.307096 1.186435 1058 265 269 115, -0.101788 0.047446 1.091710 919 494 219 194, -0.141185 -0.092689 0.970597 871 641 200 245, -0.121462 0.006488 0.942042 890 533 206 207, -0.115939 0.056410 0.925067 894 475 207 187, 0.194560 0.028880 1.120106 1201 511 317 200, 0.278699 -0.071357 0.983463 1325 615 357 236, 0.253439 0.102956 0.933942 1315 421 353 169, 0.262494 0.094397 0.940471 1322 432 356 173, -0.014563 -0.362527 1.108796 1005 886 248 330, -0.095607 -0.363338 0.839489 914 999 211 369, -0.212997 -0.376815 0.488692 620 1364 102 477, -0.200708 -0.345616 0.363006 -2147483648 -2147483648 75 517, 0.135949 -0.354482 1.106622 1149 879 298 327, 0.137167 -0.348315 0.816421 1215 992 315 367, 0.143506 -0.352037 0.456625 1427 1360 364 481, 0.145491 -0.319792 0.330812 -2147483648 -2147483648 397 526, 0.054014 0.103537 1.172066 1063 446 270 177, -0.107632 0.125074 0.931187 904 398 211 160, -0.067621 0.049535 0.912396 949 482 226 190, 0.266125 0.148719 0.932443 1329 369 358 151, 0.275543 0.067259 0.909823 1350 460 364 183
0.062189 -0.369881 1.137731 1075 884 273 329, 0.057961 -0.095536 1.162625 1068 626 271 240, 0.052944 0.168739 1.171221 1062 387 270 157, 0.049281 0.307191 1.185250 1057 264 268 115, -0.107530 0.033679 1.112928 915 508 218 199, -0.110919 -0.115915 0.998595 905 663 213 252, -0.054538 0.041782 0.923072 965 492 232 193, -0.062984 0.058948 0.927289 955 472 228 186, 0.194429 0.027997 1.118820 1201 512 317 200, 0.271928 -0.069908 0.977246 1320 614 355 236, 0.246808 0.029678 0.949349 1302 505 349 198, 0.230219 0.099342 0.934555 1288 426 344 171, -0.014859 -0.362281 1.108004 1004 886 248 330, -0.095549 -0.363318 0.839197 914 999 211 369, -0.210616 -0.376814 0.494283 629 1354 105 475, -0.205454 -0.345881 0.368975 -2147483648 -2147483648 73 514, 0.135865 -0.356891 1.106247 1149 881 298 328, 0.137734 -0.348127 0.815844 1216 992 315 367, 0.144767 -0.348262 0.463228 1423 1340 364 475, 0.139709 -0.316254 0.337260 -2147483648 -2147483648 391 521, 0.054396 0.103841 1.171328 1064 445 270 177, -0.066024 0.107573 0.922630 951 416 227 167, -0.006184 0.049543 0.932685 1020 483 251 190, 0.214721 0.147103 0.931973 1271 371 338 152, 0.272449 0.089166 0.898371 1351 433 365 173
0.062261 -0.370569 1.137416 1075 885 273 329, 0.058410 -0.095558 1.162165 1069 626 272 240, 0.054451 0.169147 1.170193 1064 386 270 157, 0.048821 0.307433 1.184165 1057 264 268 114, -0.109321 0.031362 1.116660 913 510 217 199, -0.103030 -0.119375 1.002797 914 666 216 253, -0.075684 -0.004674 0.952122 941 545 224 211, -0.059649 0.060475 0.927936 959 471 230 186, 0.194735 0.026273 1.116819 1202 514 317 201, 0.259733 -0.060855 0.960789 1312 606 352 233, 0.229621 0.031301 0.944179 1284 503 342 197, 0.209867 0.102344 0.939521 1263 423 335 170, -0.014807 -0.362637 1.107672 1004 887 248 330, -0.095793 -0.363332 0.839272 914 999 211 369, -0.211039 -0.376313 0.495595 629 1351 105 474, -0.207555 -0.345520 0.369919 -2147483648 -2147483648 71 513, 0.135996 -0.358431 1.106202 1149 883 298 329, 0.138074 -0.348184 0.815605 1217 992 316 367, 0.145341 -0.346374 0.464718 1423 1333 364 474, 0.138635 -0.314470 0.338241 -2147483648 -2147483648 390 519, 0.055556 0.104235 1.170465 1065 445 271 177, -0.042492 0.109420 0.930860 978 415 237 167, -0.007473 0.035436 0.921736 1019 499 250 196, 0.181157 0.148535 0.943023 1230 372 324 152, 0.244318 0.128585 0.913992 1311 389 351 158
0.061606 -0.369837 1.136969 1075 884 273 329, 0.057690 -0.095105 1.161682 1068 626 271 240, 0.053172 0.168676 1.169971 1062 386 270 157, 0.049389 0.307240 1.182432 1058 264 269 114, -0.091727 0.040256 1.115711 930 502 223 196, -0.139690 -0.084783 0.980800 873 632 201 241, -0.049287 0.024616 1.081226 970 516 237 201, -0.012644 0.073112 1.118220 1005 470 249 186, 0.194820 0.027909 1.117563 1202 512 317 201, 0.278532 -0.068680 0.977471 1327 613 358 235, 0.258631 0.034541 0.950646 1314 500 353 196, 0.254537 0.100573 0.942579 1313 425 352 170, -0.014778 -0.360953 1.107630 1004 885 248 329, -0.097115 -0.364434 0.840407 912 1000 211 369, -0.212950 -0.380991 0.501861 629 1351 105 474, -0.208778 -0.350352 0.375959 -2147483648 -2147483648 73 512, 0.134520 -0.358642 1.105579 1148 883 298 329, 0.135842 -0.348416 0.815309 1214 992 315 367, 0.141941 -0.346587 0.469307 1411 1325 361 472, 0.136291 -0.314683 0.342578 -2147483648 -2147483648 386 517, 0.054486 0.104209 1.170143 1064 445 270 177, 0.020280 0.119811 1.132424 1035 427 260 171, 0.032509 0.038014 1.076904 1051 502 264 197, 0.248727 0.151770 0.934542 1309 366 351 150, 0.239938 0.109392 0.995333 1279 422 342 169
0.061051 -0.369471 1.136799 1074 884 273 329, 0.057462 -0.094908 1.161488 1068 626 271 240, 0.053108 0.168691 1.169844 1062 386 270 157, 0.050232 0.307080 1.181015 1059 264 269 114, -0.091503 0.040793 1.115871 930 501 223 196, -0.136397 -0.088294 0.984338 877 635 203 242, -0.043811 0.023642 1.080072 976 516 238 202, 0.001920 0.067505 1.114032 1019 475 254 188, 0.194692 0.027704 1.117090 1202 512 317 201, 0.277474 -0.069247 0.977074 1326 613 357 236, 0.255595 0.031816 0.951025 1311 503 352 197, 0.241516 0.099779 0.938804 1299 426 348 171, -0.014921 -0.360269 1.107767 1004 884 248 329, -0.097600 -0.364678 0.840602 912 1000 211 369, -0.212970 -0.382306 0.504715 631 1349 106 474, -0.209017 -0.351780 0.378960 -2147483648 -2147483648 74 512, 0.133270 -0.358755 1.105118 1147 883 298 329, 0.136431 -0.348505 0.815048 1215 993 315 367, 0.144832 -0.346604 0.471415 1415 1322 362 471, 0.139055 -0.314788 0.344850 -2147483648 -2147483648 388 515, 0.054389 0.104294 1.169989 1064 445 270 177, 0.031254 0.120188 1.130693 1045 427 263 171, 0.039463 0.023810 1.064743 1059 516 267 201, 0.229610 0.149642 0.934547 1287 369 343 151, 0.184867 0.072238 0.923125 1240 456 327 181
0.061003 -0.369599 1.136706 1074 884 273 329, 0.057504 -0.094895 1.161303 1068 626 271 240, 0.053331 0.168817 1.169439 1063 386 270 157, 0.050667 0.307180 1.179917 1059 263 269 114, -0.092724 0.039237 1.115797 929 503 223 197, -0.126449 -0.095612 0.987069 888 643 206 245, -0.105597 0.011129 0.948105 908 527 213 205, -0.093584 0.079461 0.930406 920 449 216 178, 0.194409 0.027286 1.116125 1202 513 317 201, 0.274044 -0.068031 0.973171 1324 612 357 235, 0.251032 0.030079 0.949151 1306 505 350 198, 0.236697 0.098435 0.936527 1295 427 346 171, -0.014841 -0.360318 1.107725 1004 884 248 329, -0.097713 -0.364691 0.840607 912 1000 210 369, -0.212853 -0.382175 0.506140 632 1346 106 473, -0.209255 -0.351755 0.380456 -2147483648 -2147483648 74 511, 0.133014 -0.359131 1.104993 1146 884 297 329, 0.136805 -0.348626 0.815029 1215 993 315 367, 0.145975 -0.346381 0.472723 1417 1319 363 470, 0.139878 -0.314670 0.346219 -2147483648 -2147483648 389 514, 0.054540 0.104404 1.169653 1064 445 270 177, -0.080472 0.129031 0.931085 935 393 222 159, -0.045803 0.052186 0.915361 975 479 235 189, 0.218953 0.147042 0.933277 1275 371 339 152, 0.179216 0.071099 0.923152 1233 457 324 181
0.060875 -0.369921 1.136202 1074 884 273 329, 0.056874 -0.095233 1.160347 1067 626 271 240, 0.051940 0.167849 1.168130 1061 387 269 157, 0.050816 0.306432 1.177626 1059 263 269 114, -0.090813 0.034469 1.111954 930 507 223 198, -0.144621 -0.082589 0.972907 867 630 199 241, -0.050155 0.024614 1.071202 969 515 236 201, -0.014384 0.075655 1.115964 1003 468 249 185, 0.195061 0.028288 1.116825 1202 512 317 200, 0.282030 -0.073334 0.983858 1328 617 358 237, 0.266131 0.030508 0.951952 1322 504 356 198, 0.263550 0.094949 0.940124 1324 431 356 173, -0.014140 -0.360643 1.107406 1005 885 249 329, -0.098363 -0.365105 0.840794 911 1001 210 369, -0.214056 -0.382452 0.510473 633 1340 107 472, -0.209504 -0.352290 0.385010 -2147483648 -2147483648 75 509, 0.131997 -0.359727 1.104290 1146 884 297 329, 0.135461 -0.348645 0.814843 1214 993 314 367, 0.144087 -0.345653 0.475834 1409 1312 361 468, 0.139154 -0.314149 0.349598 -2147483648 -2147483648 387 512, 0.053331 0.103700 1.168438 1063 445 270 177, 0.019515 0.121610 1.130592 1034 425 260 170, 0.032954 0.036808 1.071484 1052 503 264 197, 0.265647 0.148514 0.930668 1330 369 358 151, 0.254837 0.100061 0.980994 1299 430 349 172
0.060840 -0.369927 1.135984 1074 885 273 329, 0.056530 -0.095380 1.159865 1067 626 271 240, 0.051194 0.167371 1.167448 1061 387 269 157, 0.050617 0.306178 1.176853 1059 263 269 114, -0.088140 0.037263 1.110489 933 504 224 197, -0.146787 -0.077649 0.971725 864 625 198 239, -0.049549 0.024269 1.072395 970 516 236 201, -0.010467 0.072501 1.112690 1007 470 250 186, 0.195207 0.028705 1.117059 1202 512 317 200, 0.281993 -0.073904 0.984896 1328 618 358 237, 0.266490 0.030253 0.952314 1323 505 356 198, 0.256429 0.080320 0.934020 1318 447 354 178, -0.013840 -0.360600 1.107181 1005 885 249 329, -0.098259 -0.365025 0.840689 911 1001 210 369, -0.213907 -0.382261 0.511346 634 1338 107 471, -0.208754 -0.352189 0.385917 -2147483648 -2147483648 76 509, 0.131721 -0.359768 1.104064 1145 885 297 329, 0.133697 -0.348618 0.814402 1211 993 314 367, 0.140362 -0.345547 0.476568 1400 1311 358 468, 0.136136 -0.314106 0.350381 -2147483648 -2147483648 384 512, 0.052680 0.103334 1.167805 1062 446 270 177, 0.024391 0.118384 1.127141 1039 428 261 171, 0.035202 0.035689 1.070442 1054 504 265 197, 0.263103 0.147836 0.923095 1330 368 358 151, 0.221016 0.079172 0.969875 1266 452 337 180
0.060681 -0.369972 1.135830 1074 885 273 329, 0.056231 -0.095355 1.159496 1067 626 271 240, 0.050864 0.167444 1.166952 1061 387 269 157, 0.050533 0.306082 1.176180 1059 263 269 114, -0.089441 0.038518 1.112001 932 503 224 197, -0.139512 -0.085109 0.977643 873 632 201 242, -0.044761 0.024623 1.073066 975 515 238 201, 0.001002 0.069694 1.111825 1018 473 254 187, 0.195019 0.028664 1.116838 1202 512 317 200, 0.279603 -0.073371 0.982649 1326 617 358 237, 0.264137 0.029638 0.950749 1321 505 355 198, 0.248325 0.080687 0.929400 1310 446 351 178, -0.013791 -0.360576 1.107139 1005 885 249 329, -0.098537 -0.365269 0.840843 911 1001 210 369, -0.214359 -0.382806 0.512465 634 1338 107 471, -0.209697 -0.352844 0.387131 -2147483648 -2147483648 76 508, 0.131108 -0.359970 1.103795 1145 885 297 330, 0.134402 -0.348729 0.814683 1212 993 314 367, 0.142742 -0.345529 0.477247 1405 1310 360 467, 0.138043 -0.314192 0.351139 -2147483648 -2147483648 386 511, 0.052341 0.103404 1.167334 1062 445 270 177, 0.028753 0.122204 1.129155 1043 425 263 170, 0.039044 0.026680 1.062919 1058 513 267 200, 0.251648 0.147666 0.922222 1317 369 353 151, 0.223304 0.093302 0.980375 1265 438 337 175
0.060315 -0.370669 1.135092 1074 885 273 330, 0.055926 -0.095437 1.158703 1067 627 271 240, 0.050724 0.167752 1.166198 1061 387 269 157, 0.049976 0.305930 1.174264 1059 263 269 114, -0.092337 0.038936 1.115247 929 503 223 197, -0.129595 -0.089863 0.981586 884 637 205 243, -0.034839 0.028364 1.067751 985 511 241 200, 0.007948 0.077206 1.114856 1024 466 256 184, 0.194175 0.028029 1.115396 1202 512 317 200, 0.274109 -0.071002 0.975798 1323 615 356 236, 0.255955 0.028318 0.945533 1313 507 353 199, 0.240573 0.079608 0.927873 1302 447 348 178, -0.013369 -0.361019 1.106822 1006 885 249 330, -0.099150 -0.365616 0.841236 910 1001 210 370, -0.215642 -0.382881 0.515697 633 1333 107 470, -0.212387 -0.353086 0.390745 -2147483648 -2147483648 75 506, 0.129855 -0.360986 1.102648 1144 886 297 330, 0.135913 -0.348888 0.815464 1214 993 315 367, 0.147814 -0.344589 0.479070 1415 1305 363 466, 0.141746 -0.313398 0.353287 -2147483648 -2147483648 389 509, 0.052106 0.103605 1.166537 1062 445 270 177, 0.039281 0.126436 1.127486 1053 421 266 169, 0.046623 0.036592 1.068686 1065 503 269 197, 0.240674 0.146465 0.921062 1305 370 349 151, 0.215833 0.098961 0.971400 1260 431 335 172
0.060847 -0.373477 1.134388 1074 888 273 331, 0.055925 -0.096099 1.158152 1067 627 271 240, 0.050438 0.168123 1.165471 1060 386 269 157, 0.048953 0.306024 1.172812 1058 263 269 114, -0.109547 0.002235 1.113960 913 538 217 209, -0.125777 -0.104544 0.957642 886 656 205 250, -0.106606 0.007104 0.933049 906 532 211 207, -0.093384 0.059460 0.919326 920 471 216 186, 0.193991 0.027729 1.114294 1202 512 317 201, 0.271763 -0.072796 0.974596 1321 618 356 237, 0.251878 0.027666 0.944613 1309 507 351 199, 0.236105 0.081569 0.929133 1297 445 346 177, -0.011662 -0.366108 1.106340 1007 890 249 331, -0.099699 -0.365949 0.841737 909 1001 210 370, -0.219109 -0.376939 0.517770 627 1317 105 465, -0.217459 -0.347125 0.392862 -2147483648 -2147483648 71 501, 0.129766 -0.362054 1.102098 1144 887 297 330, 0.136779 -0.348889 0.815896 1215 993 315 367, 0.149963 -0.343241 0.479633 1419 1301 365 465, 0.142265 -0.312155 0.353813 -2147483648 -2147483648 389 508, 0.051865 0.103785 1.165902 1062 445 269 177, -0.088598 0.126560 0.918906 925 394 218 159, -0.048582 0.034661 0.905056 972 499 234 196, 0.235605 0.147353 0.926284 1297 370 347 151, 0.200019 0.083186 0.953400 1248 446 330 178
