0.057746 -0.360053 1.150103 1070 871 272 325, 0.056865 -0.098641 1.165333 1067 629 271 241, 0.054462 0.174542 1.164055 1064 380 270 155, 0.045078 0.312191 1.177880 1054 258 267 112, -0.103023 0.040936 1.151392 920 502 221 197, -0.175927 -0.103676 1.076399 846 642 193 245, -0.228340 -0.026829 0.924441 765 571 163 220, -0.252594 0.044854 0.853287 718 485 145 190, 0.194678 0.016088 1.098316 1206 523 318 204, 0.261169 -0.021899 0.983870 1306 562 351 218, 0.209497 0.140910 0.949238 1260 381 334 155, 0.194174 0.174804 0.947181 1243 343 328 142, -0.012897 -0.346034 1.128247 1005 865 249 322, -0.073790 -0.352572 0.824759 941 993 220 367, -0.137083 -0.367066 0.535944 802 1270 161 456, -0.148776 -0.339195 0.409385 -2147483648 -2147483648 128 496, 0.125267 -0.354361 1.108986 1138 878 295 327, 0.148622 -0.356774 0.848972 1220 985 318 364, 0.187686 -0.373460 0.506828 1474 1324 384 470, 0.166951 -0.345019 0.380426 -2147483648 -2147483648 400 512, 0.055248 0.104139 1.166793 1065 445 271 177, -0.296118 0.087845 0.785198 637 422 115 169, -0.200610 0.053292 0.826310 777 472 164 186, 0.177520 0.226106 0.940278 1226 284 323 121, 0.170069 0.163064 0.993769 1204 365 316 150
0.057664 -0.360936 1.144168 1070 874 272 326, 0.056231 -0.094829 1.161306 1067 626 271 239, 0.053955 0.173896 1.162320 1064 381 270 155, 0.044676 0.311501 1.174471 1054 258 267 112, -0.103668 0.040857 1.149391 920 502 220 197, -0.179424 -0.058851 1.010329 834 602 188 231, -0.181693 0.057100 0.929835 820 475 182 187, -0.181895 0.119968 0.908206 816 400 180 161, 0.194299 0.025808 1.101790 1205 514 318 201, 0.264434 -0.001998 0.982189 1310 541 352 210, 0.230910 0.121225 0.941523 1286 402 343 162, 0.234362 0.162239 0.936551 1292 355 345 146, -0.012868 -0.348510 1.122365 1006 869 249 324, -0.073100 -0.352459 0.822661 942 994 221 367, -0.132739 -0.363335 0.549675 814 1244 166 448, -0.142769 -0.336534 0.429269 746 1377 137 484, 0.125117 -0.354517 1.105003 1139 879 295 328, 0.142533 -0.356655 0.847268 1213 986 315 365, 0.171287 -0.371653 0.521720 1426 1297 370 463, 0.153009 -0.344312 0.401453 -2147483648 -2147483648 383 502, 0.054654 0.105343 1.164503 1064 443 270 177, -0.185830 0.168226 0.901451 810 342 178 141, -0.128138 0.105416 0.892133 877 415 201 166, 0.233815 0.209312 0.925502 1295 299 346 127, 0.199729 0.159652 0.975572 1241 365 328 150
0.057495 -0.360876 1.142555 1070 874 272 326, 0.054384 -0.091966 1.159993 1065 623 270 239, 0.050472 0.174912 1.162259 1061 380 269 155, 0.044672 0.311520 1.173801 1054 258 267 112, -0.103397 0.040773 1.148110 920 502 220 197, -0.176596 -0.061580 1.006445 837 605 189 232, -0.159184 0.071965 0.939303 846 459 191 182, -0.159353 0.130985 0.932596 845 391 191 158, 0.195257 0.027518 1.103186 1205 512 318 201, 0.268253 0.001349 0.983048 1313 537 353 209, 0.242553 0.125959 0.934951 1302 396 348 160, 0.249327 0.164811 0.929110 1311 350 352 144, -0.013090 -0.348650 1.120740 1005 869 249 324, -0.072830 -0.352415 0.822497 942 994 221 367, -0.130942 -0.362807 0.555327 819 1236 168 446, -0.139959 -0.336434 0.437867 757 1360 141 480, 0.125020 -0.354320 1.103805 1139 879 295 328, 0.136085 -0.357338 0.844455 1206 988 313 365, 0.155167 -0.372854 0.527127 1389 1292 358 462, 0.138135 -0.345859 0.409809 -2147483648 -2147483648 369 500, 0.051306 0.108021 1.164051 1061 441 269 176, -0.156278 0.180654 0.930942 848 334 192 138, -0.107714 0.108823 0.918169 903 414 210 166, 0.255269 0.207866 0.912209 1325 297 356 126, 0.222918 0.164880 0.971970 1267 359 337 147
0.055999 -0.362340 1.139743 1069 876 271 326, 0.053211 -0.089969 1.157811 1064 622 270 238, 0.049680 0.174954 1.160402 1060 379 269 155, 0.044160 0.312718 1.171385 1054 256 267 112, -0.101674 0.038038 1.142424 921 505 221 197, -0.169070 -0.073087 1.004351 844 617 192 236, -0.149897 0.061327 0.932643 856 470 194 186, -0.154500 0.111229 0.930842 850 413 192 166, 0.195040 0.030515 1.103803 1205 509 318 200, 0.273494 0.002279 0.987869 1317 536 355 209, 0.238321 0.129379 0.958341 1289 395 345 160, 0.240820 0.151076 0.957809 1292 371 346 152, -0.014245 -0.352913 1.116130 1005 875 249 326, -0.071928 -0.352652 0.821849 944 995 221 368, -0.125900 -0.358792 0.568011 832 1212 173 439, -0.132923 -0.333193 0.456365 782 1319 150 469, 0.123348 -0.353815 1.102535 1137 879 294 328, 0.132704 -0.357249 0.843613 1202 988 311 365, 0.148341 -0.372079 0.543948 1362 1267 351 455, 0.133554 -0.346091 0.432498 1428 1392 361 489, 0.050440 0.109468 1.162025 1061 439 269 175, -0.152237 0.163051 0.928997 853 354 193 145, -0.105166 0.088604 0.914728 906 437 211 174, 0.239775 0.201578 0.951505 1293 314 346 132, 0.194505 0.139282 0.983000 1233 388 326 158
0.055857 -0.363908 1.138244 1069 878 271 327, 0.052559 -0.090241 1.156550 1064 622 270 238, 0.048342 0.174628 1.158897 1059 380 268 155, 0.044174 0.312719 1.170176 1054 256 267 112, -0.099451 0.034378 1.136301 923 508 221 199, -0.162979 -0.079034 1.000401 850 624 194 239, -0.141466 0.064870 0.940400 867 467 198 184, -0.140380 0.113206 0.943298 868 413 199 166, 0.196030 0.030662 1.103963 1206 509 318 199, 0.278560 -0.003102 0.993690 1321 542 356 211, 0.259468 0.122314 0.945944 1317 401 354 162, 0.268152 0.140827 0.939990 1329 379 358 155, -0.014356 -0.354979 1.113745 1005 877 248 327, -0.071771 -0.352556 0.821678 944 995 221 368, -0.125903 -0.356800 0.568090 832 1208 173 438, -0.131482 -0.331250 0.457057 786 1313 151 468, 0.123225 -0.354475 1.102052 1137 880 294 328, 0.132481 -0.357350 0.843376 1202 988 311 366, 0.147873 -0.371362 0.545882 1360 1263 351 454, 0.134525 -0.345503 0.435099 1428 1385 362 488, 0.049363 0.109408 1.160607 1060 439 269 175, -0.143140 0.165454 0.940741 864 354 197 145, -0.096206 0.116603 0.964600 919 412 217 165, 0.280180 0.187135 0.922652 1349 323 365 135, 0.254077 0.148699 0.977588 1300 377 349 154
0.055981 -0.365969 1.136586 1069 881 271 328, 0.051785 -0.090569 1.155178 1063 622 270 238, 0.046522 0.174891 1.157327 1057 379 268 154, 0.044273 0.312522 1.168718 1054 256 267 112, -0.095321 0.028544 1.121246 927 513 222 200, -0.150738 -0.078245 1.004789 864 623 198 238, -0.125930 0.079767 0.944518 884 451 204 179, -0.132254 0.117795 0.943490 877 408 202 164, 0.197216 0.030641 1.104327 1207 509 319 199, 0.280490 -0.000580 0.995421 1322 539 357 210, 0.266281 0.121314 0.939542 1327 401 357 162, 0.275440 0.140580 0.934558 1339 379 362 154, -0.014266 -0.357357 1.111239 1005 880 249 328, -0.071775 -0.352528 0.821685 944 995 221 368, -0.126626 -0.354650 0.567707 831 1205 172 437, -0.128686 -0.329060 0.456872 793 1308 153 467, 0.123328 -0.355761 1.101382 1138 882 294 328, 0.132958 -0.357669 0.842877 1202 989 311 366, 0.114320 -0.451301 1.033201 1140 1003 294 370, 0.032225 -0.404557 0.956351 1063 988 266 365, 0.047864 0.109708 1.159080 1059 439 268 175, -0.131277 0.168635 0.942219 878 350 202 144, -0.092667 0.120626 0.972136 923 408 218 164, 0.290026 0.186075 0.914587 1364 322 370 135, 0.259622 0.146540 0.974500 1307 379 351 154
0.056105 -0.367012 1.134887 1070 882 271 328, 0.052259 -0.090739 1.152153 1064 623 270 238, 0.047827 0.174446 1.153009 1059 379 268 154, 0.044350 0.313633 1.164376 1054 254 267 111, -0.094654 0.028163 1.120566 927 513 222 200, -0.158618 -0.082391 0.995267 854 628 195 240, -0.137429 0.058945 0.925828 870 473 199 186, -0.147094 0.105619 0.925037 858 419 195 168, 0.196473 0.030405 1.102337 1207 510 318 200, 0.273651 -0.006371 0.993315 1316 545 354 212, 0.238899 0.115574 0.948115 1293 409 346 165, 0.240856 0.136204 0.945281 1296 386 347 157, -0.014021 -0.358530 1.109661 1005 882 249 328, -0.072470 -0.352933 0.821273 943 996 221 368, -0.127806 -0.354307 0.570102 829 1201 172 435, -0.130141 -0.329198 0.460274 790 1302 152 465, 0.123283 -0.356321 1.099883 1138 883 294 329, 0.133270 -0.358049 0.842360 1203 990 311 366, 0.113289 -0.452384 1.029956 1140 1005 294 371, 0.051638 -0.425681 0.924915 1088 1028 274 379, 0.048960 0.109640 1.155068 1060 439 269 175, -0.151130 0.157234 0.920454 853 359 193 147, -0.094327 0.101059 0.915897 918 423 216 169, 0.239343 0.182682 0.933089 1299 331 347 138, 0.217406 0.142834 0.982478 1258 384 334 156
0.056070 -0.367573 1.133874 1070 883 271 329, 0.052364 -0.090742 1.151968 1064 623 270 238, 0.048126 0.174609 1.153200 1059 379 268 154, 0.044562 0.313887 1.162995 1055 253 267 111, -0.092179 0.026941 1.117254 929 514 223 201, -0.153708 -0.081796 0.994796 859 627 197 240, -0.125276 0.065870 0.933800 884 465 204 184, -0.130905 0.108558 0.934260 878 417 202 167, 0.196472 0.030633 1.102053 1207 509 318 199, 0.273030 -0.006032 0.993301 1315 545 354 212, 0.253316 0.112384 0.935473 1314 411 353 166, 0.252356 0.134109 0.935059 1313 386 352 157, -0.014024 -0.359185 1.107969 1005 883 249 329, -0.072471 -0.352895 0.821168 943 996 221 368, -0.128296 -0.353681 0.569398 828 1201 171 435, -0.129975 -0.328377 0.459529 791 1302 152 465, 0.123231 -0.356688 1.099448 1138 883 294 329, 0.133583 -0.358285 0.842048 1203 990 312 366, 0.112906 -0.451204 1.029792 1139 1004 294 371, 0.051539 -0.424725 0.924486 1088 1027 274 379, 0.049173 0.109765 1.155132 1060 439 269 175, -0.130353 0.159188 0.932649 878 359 202 147, -0.078560 0.099218 0.928700 937 427 222 171, 0.254595 0.181913 0.919508 1321 328 355 137, 0.231977 0.137587 0.975393 1276 389 341 158
0.056149 -0.367986 1.133262 1070 884 271 329, 0.051872 -0.090357 1.150822 1064 622 270 238, 0.046705 0.176118 1.151501 1058 377 268 154, 0.044783 0.313917 1.162139 1055 253 267 111, -0.090146 0.027425 1.112275 931 514 224 201, -0.143867 -0.081412 0.996077 870 627 200 240, -0.115487 0.084140 0.943130 896 445 208 177, -0.125009 0.113975 0.936280 885 411 204 165, 0.196343 0.030743 1.101968 1207 509 318 199, 0.272458 -0.008199 0.994603 1314 547 354 213, 0.253694 0.112239 0.934772 1314 411 353 166, 0.255310 0.131617 0.928160 1319 388 354 158, -0.013933 -0.359629 1.106466 1005 884 249 329, -0.072831 -0.353205 0.821523 942 996 221 368, -0.129679 -0.353926 0.568997 825 1202 170 436, -0.130157 -0.328779 0.459185 790 1303 152 465, 0.123283 -0.356980 1.099373 1138 883 294 329, 0.133462 -0.358440 0.841857 1203 991 312 366, 0.113066 -0.451256 1.029260 1139 1004 294 371, 0.053742 -0.425317 0.922569 1091 1029 275 379, 0.048037 0.111026 1.153571 1059 437 268 174, -0.122425 0.164791 0.935060 887 353 205 145, -0.071952 0.099253 0.926707 945 426 225 170, 0.263013 0.177309 0.909915 1335 332 359 138, 0.234395 0.139549 0.972855 1280 386 342 157
0.055913 -0.368981 1.132441 1070 885 271 329, 0.051674 -0.091129 1.149142 1064 623 270 239, 0.046968 0.174975 1.149255 1058 378 268 154, 0.044850 0.314335 1.160601 1055 252 267 110, -0.089562 0.027221 1.112696 932 514 224 201, -0.149380 -0.084009 0.991167 864 630 198 241, -0.121936 0.076267 0.923286 887 452 205 179, -0.133361 0.106411 0.928900 874 419 201 168, 0.194036 0.029732 1.098513 1205 510 318 200, 0.252013 -0.065145 1.002267 1290 607 345 233, 0.238934 0.096010 0.930504 1299 429 347 172, 0.239886 0.127551 0.924988 1302 392 348 159, -0.013970 -0.360537 1.105370 1005 885 249 330, -0.073819 -0.353767 0.821330 941 997 220 368, -0.131422 -0.354163 0.570309 822 1201 170 435, -0.132954 -0.329082 0.459412 784 1304 150 465, 0.122826 -0.357937 1.099007 1138 884 294 329, 0.134626 -0.358814 0.841567 1205 991 312 367, 0.111777 -0.449394 1.028865 1138 1003 293 370, 0.050453 -0.423383 0.921993 1087 1027 273 379, 0.048170 0.110119 1.151482 1060 438 269 175, -0.140026 0.157226 0.921761 866 359 198 147, -0.100806 0.110032 0.960625 913 419 215 168, 0.243808 0.168912 0.901662 1315 340 353 141, 0.217774 0.133493 0.966344 1264 392 336 159
