0.060634 -0.462747 1.175112 1071 957 272 355, 0.055278 -0.152624 1.190819 1064 675 270 257, 0.049357 0.144516 1.187900 1058 410 268 165, 0.037567 0.288369 1.199465 1046 284 265 122, -0.095732 0.014320 1.164106 928 527 223 205, -0.141776 -0.131442 1.066658 879 671 205 255, -0.138873 0.045682 0.970484 873 490 201 192, -0.136540 0.082539 0.958443 874 449 201 178, 0.194546 0.033414 1.148896 1195 508 315 199, 0.251519 -0.104274 1.052448 1274 644 341 246, 0.236396 0.036371 0.972557 1282 499 342 196, 0.226041 0.089212 0.956951 1276 440 340 175, -0.008081 -0.454273 1.147640 1010 959 251 355, -0.052067 -0.343612 0.838729 969 974 230 360, 0.052111 -0.555775 0.729044 1122 1352 279 482, 0.009427 -0.431066 0.759047 1056 1143 258 418, 0.126019 -0.445618 1.137572 1135 955 294 354, 0.140496 -0.349109 0.834759 1214 983 315 364, 0.056873 -0.580656 0.755146 1124 1359 280 484, -0.022290 -0.461080 0.723357 1014 1218 242 442, 0.050913 0.072194 1.191235 1059 475 269 188, -0.140411 0.125916 0.957760 869 401 200 162, -0.107599 0.081542 0.973100 907 451 213 179, 0.221724 0.131904 0.949984 1273 391 339 159, 0.201468 0.079921 0.981333 1242 452 328 180
0.059220 -0.354095 1.164996 1070 861 272 321, 0.053858 -0.103484 1.179795 1063 632 270 242, 0.048919 0.143677 1.180679 1058 410 268 165, 0.037128 0.285071 1.186095 1046 284 265 122, -0.097046 0.014282 1.158393 926 527 223 205, -0.160052 -0.124002 1.028358 857 668 196 254, -0.141762 0.072632 0.969038 869 461 200 182, -0.160418 0.080308 0.963829 848 452 192 179, 0.193844 0.032909 1.142401 1196 508 315 199, 0.253040 -0.118779 1.044392 1278 659 342 251, 0.238394 0.039469 0.969433 1285 495 343 195, 0.235499 0.087992 0.957492 1286 441 343 176, -0.008858 -0.349074 1.141219 1009 864 250 322, -0.051752 -0.341384 0.833261 970 974 230 360, -0.102483 -0.341516 0.500731 864 1266 179 456, -0.105804 -0.313536 0.375557 -2147483648 -2147483648 155 500, 0.124359 -0.341403 1.130533 1134 859 294 321, 0.140330 -0.346734 0.828881 1216 983 316 364, 0.163705 -0.362887 0.484266 1445 1337 373 474, 0.152114 -0.335172 0.359972 -2147483648 -2147483648 393 519, 0.049867 0.079094 1.182587 1059 468 269 185, -0.173129 0.151018 0.971293 835 375 188 153, -0.133946 0.059826 1.027951 883 478 206 188, 0.240168 0.151622 0.957334 1291 371 345 152, 0.197704 0.108644 0.958296 1244 418 329 168
0.058786 -0.350416 1.163776 1070 858 272 320, 0.054078 -0.101168 1.178731 1063 630 270 241, 0.049106 0.143544 1.179978 1058 410 268 165, 0.037090 0.284779 1.184783 1047 284 265 122, -0.097293 0.014240 1.157756 926 527 223 205, -0.156829 -0.131525 1.034492 861 675 198 256, -0.139475 0.066084 0.965728 871 468 200 185, -0.149948 0.084635 0.962706 859 447 196 177, 0.193389 0.032780 1.141624 1196 508 315 199, 0.252044 -0.119940 1.043133 1277 660 342 252, 0.234604 0.043000 0.966191 1282 491 342 193, 0.222545 0.096635 0.955482 1272 431 339 173, -0.009260 -0.345687 1.140525 1008 861 250 321, -0.051706 -0.341164 0.832748 970 974 230 360, -0.106043 -0.345517 0.474085 850 1317 173 470, -0.109165 -0.317171 0.349301 -2147483648 -2147483648 147 518, 0.123953 -0.337830 1.129575 1134 856 294 320, 0.140214 -0.346528 0.828418 1216 983 315 364, 0.165913 -0.368606 0.457570 1478 1398 379 489, 0.154080 -0.340540 0.333753 -2147483648 -2147483648 401 537, 0.050332 0.080318 1.181757 1059 467 269 185, -0.167902 0.153584 0.968008 840 372 190 151, -0.111456 0.096820 0.948361 901 432 210 172, 0.232532 0.161750 0.954189 1284 359 343 147, 0.192922 0.115216 0.977917 1233 414 326 166
0.058662 -0.347340 1.163179 1070 856 272 319, 0.054134 -0.098653 1.178157 1063 628 270 240, 0.049154 0.143735 1.179528 1058 410 268 165, 0.037190 0.284768 1.183843 1047 284 265 121, -0.096646 0.014446 1.157315 927 527 223 205, -0.156259 -0.135024 1.035763 861 678 198 257, -0.136245 0.062509 0.964313 875 471 202 186, -0.136658 0.088197 0.960823 874 443 201 176, 0.192550 0.032186 1.140727 1195 509 315 199, 0.250891 -0.120175 1.039335 1277 661 342 252, 0.225727 0.049472 0.962529 1274 484 339 191, 0.214862 0.108877 0.955703 1264 418 336 168, -0.009418 -0.342383 1.140475 1008 858 250 320, -0.055591 -0.341161 0.830138 965 976 229 361, -0.115846 -0.349765 0.460982 824 1349 164 479, -0.118865 -0.321380 0.336613 -2147483648 -2147483648 136 527, 0.123884 -0.335222 1.128973 1134 854 294 319, 0.139401 -0.347046 0.829558 1214 983 315 364, 0.165357 -0.374645 0.442970 -2147483648 -2147483648 381 500, 0.153344 -0.346440 0.319562 -2147483648 -2147483648 404 551, 0.050491 0.082155 1.181251 1059 466 269 184, -0.141890 0.154156 0.973072 869 372 200 152, -0.092889 0.096616 0.958714 922 433 218 173, 0.219408 0.172595 0.955569 1269 347 338 143, 0.176450 0.106676 0.980077 1215 423 319 170
0.058816 -0.348663 1.160831 1070 858 272 320, 0.054089 -0.098577 1.177122 1063 628 270 240, 0.049102 0.143770 1.179120 1058 410 268 165, 0.037175 0.284440 1.182943 1047 284 265 121, -0.097237 0.014383 1.157130 926 527 223 205, -0.154960 -0.139059 1.038603 863 682 199 259, -0.142832 0.066650 0.973250 868 467 200 185, -0.175429 0.087171 0.968912 832 445 187 177, 0.192968 0.031894 1.140266 1195 509 315 199, 0.251063 -0.133690 1.044656 1276 674 341 257, 0.240171 0.042049 0.964827 1289 492 345 194, 0.249090 0.095995 0.956264 1302 432 349 173, -0.009678 -0.343509 1.138496 1008 859 250 320, -0.056737 -0.340762 0.829085 963 976 228 361, -0.121421 -0.347966 0.442151 804 1380 157 487, -0.124246 -0.319093 0.318089 -2147483648 -2147483648 126 536, 0.124542 -0.336977 1.126865 1135 856 294 320, 0.139049 -0.346948 0.829249 1214 983 315 364, 0.165123 -0.373663 0.423135 -2147483648 -2147483648 385 509, 0.152864 -0.344890 0.300064 -2147483648 -2147483648 412 568, 0.050471 0.082819 1.180681 1059 465 269 184, -0.186829 0.156577 0.982589 822 371 184 151, -0.139501 0.099984 0.975400 872 431 201 172, 0.270590 0.160766 0.950473 1327 359 358 147, 0.211805 0.104598 1.004750 1246 428 330 171
0.058868 -0.348768 1.160170 1070 858 272 320, 0.054095 -0.098553 1.176787 1063 628 270 240, 0.049104 0.143629 1.179055 1058 410 268 165, 0.037159 0.284260 1.182731 1047 284 265 122, -0.099225 0.013944 1.157550 924 527 222 205, -0.166098 -0.145771 1.041101 852 688 195 261, -0.145270 0.062165 0.976584 866 473 199 186, -0.161074 0.088231 0.970137 848 444 192 176, 0.193131 0.031879 1.140231 1196 509 315 199, 0.250274 -0.130532 1.042340 1276 671 341 256, 0.240585 0.047871 0.965018 1289 486 345 191, 0.235397 0.108233 0.954739 1287 418 344 168, -0.009680 -0.343619 1.137946 1008 860 250 321, -0.056757 -0.340633 0.829036 963 976 228 361, -0.122607 -0.347700 0.436177 799 1391 155 489, -0.125492 -0.318637 0.312010 -2147483648 -2147483648 123 540, 0.124667 -0.337111 1.126270 1135 856 294 320, 0.139067 -0.346817 0.828944 1214 983 315 364, 0.165414 -0.373606 0.416969 -2147483648 -2147483648 387 511, 0.152974 -0.344636 0.293802 -2147483648 -2147483648 415 575, 0.050446 0.082896 1.180524 1059 465 269 184, -0.178009 0.155918 0.980966 831 372 187 151, -0.121087 0.095396 0.990000 893 438 208 174, 0.257857 0.170974 0.951884 1313 348 353 144, 0.189800 0.110786 0.964000 1234 417 325 168
0.058818 -0.348619 1.160051 1070 858 272 320, 0.054156 -0.098468 1.176697 1064 628 270 240, 0.049323 0.143524 1.179109 1058 410 269 165, 0.037155 0.284230 1.182571 1047 284 265 122, -0.099011 0.013963 1.157504 924 527 222 205, -0.162050 -0.142849 1.039016 856 686 196 260, -0.142166 0.066355 0.975497 869 468 200 185, -0.148042 0.095360 0.967600 862 436 197 174, 0.192745 0.031801 1.140079 1195 509 315 199, 0.247284 -0.127432 1.040043 1273 668 340 255, 0.231995 0.053957 0.961021 1281 479 342 189, 0.222726 0.112380 0.954166 1273 414 339 166, -0.009786 -0.343474 1.137873 1008 859 250 321, -0.056119 -0.340558 0.829476 964 975 228 361, -0.121627 -0.347834 0.433294 800 1397 155 491, -0.124553 -0.318688 0.309079 -2147483648 -2147483648 123 542, 0.124668 -0.336967 1.126209 1135 856 294 320, 0.139034 -0.346803 0.828863 1214 983 315 364, 0.165499 -0.373965 0.414304 -2147483648 -2147483648 387 513, 0.152995 -0.344927 0.291105 -2147483648 -2147483648 417 578, 0.050614 0.082995 1.180536 1060 465 269 184, -0.159098 0.163404 0.981216 851 364 194 149, -0.108834 0.109459 0.957029 904 419 212 168, 0.238869 0.176036 0.952601 1291 342 345 142, 0.185705 0.120098 0.988091 1223 410 322 165
0.058889 -0.348543 1.159369 1070 858 272 320, 0.054098 -0.098367 1.176293 1064 628 270 240, 0.049166 0.143333 1.179054 1058 410 268 165, 0.036929 0.283685 1.182283 1047 285 265 122, -0.099509 0.013694 1.157599 924 527 222 205, -0.163881 -0.152833 1.046920 855 695 196 263, -0.145776 0.058057 0.979975 866 477 199 188, -0.176843 0.081064 0.971245 831 452 187 179, 0.192979 0.031661 1.140057 1195 509 315 199, 0.250212 -0.141296 1.049548 1274 681 341 259, 0.240798 0.042310 0.966156 1289 492 345 194, 0.247049 0.098347 0.953072 1300 429 348 172, -0.009706 -0.343414 1.137126 1008 860 250 321, -0.059851 -0.340661 0.827178 959 977 227 361, -0.130732 -0.348113 0.428545 776 1408 147 493, -0.133511 -0.318865 0.304340 -2147483648 -2147483648 113 544, 0.124719 -0.336908 1.125757 1135 856 294 320, 0.139074 -0.346675 0.828375 1214 983 315 364, 0.165878 -0.374111 0.408499 -2147483648 -2147483648 389 516, 0.153286 -0.344889 0.285247 -2147483648 -2147483648 421 587, 0.050444 0.083173 1.180361 1059 465 269 184, -0.189828 0.151324 0.983892 818 377 182 153, -0.145225 0.072645 1.008467 869 464 201 183, 0.264854 0.162617 0.949009 1322 357 356 147, 0.206561 0.104698 1.005750 1240 428 328 172
0.058862 -0.348346 1.159232 1070 858 272 320, 0.054062 -0.098225 1.176155 1063 628 270 240, 0.049091 0.143308 1.179000 1058 410 268 165, 0.036855 0.283489 1.182055 1047 285 265 122, -0.099926 0.013563 1.158156 924 527 222 205, -0.160800 -0.151191 1.046407 858 693 197 263, -0.140797 0.058897 0.973325 871 476 200 188, -0.150215 0.087881 0.967714 860 444 196 176, 0.193026 0.031611 1.140074 1196 509 315 200, 0.250340 -0.141125 1.049113 1274 681 341 259, 0.239808 0.042571 0.965417 1288 492 344 193, 0.235658 0.101461 0.952449 1288 426 344 171, -0.009790 -0.343206 1.137067 1008 859 250 320, -0.058720 -0.340601 0.828034 961 976 227 361, -0.128694 -0.348389 0.426261 780 1413 148 494, -0.131651 -0.319074 0.301972 -2147483648 -2147483648 114 547, 0.124740 -0.336727 1.125617 1135 856 294 320, 0.138995 -0.346619 0.828344 1214 983 315 364, 0.165787 -0.374396 0.406501 -2147483648 -2147483648 389 517, 0.153026 -0.345129 0.283179 -2147483648 -2147483648 422 591, 0.050373 0.083306 1.180288 1059 465 269 184, -0.166431 0.155152 0.977273 843 372 191 151, -0.111378 0.085977 0.991300 904 448 212 178, 0.256381 0.162751 0.947891 1313 356 353 147, 0.190889 0.108442 0.976444 1231 421 325 169
0.058785 -0.347935 1.159360 1070 857 272 320, 0.053966 -0.097962 1.176176 1063 628 270 240, 0.049006 0.143347 1.178998 1058 410 268 165, 0.036916 0.283425 1.181851 1047 285 265 122, -0.098441 0.013664 1.157582 925 527 222 205, -0.157946 -0.151032 1.045436 861 693 198 263, -0.137886 0.058789 0.969849 874 476 201 187, -0.134610 0.090252 0.961900 876 441 202 175, 0.192675 0.031654 1.140009 1195 509 315 199, 0.248297 -0.134494 1.042573 1274 675 341 257, 0.233866 0.049671 0.961656 1283 484 342 191, 0.227508 0.122160 0.952863 1279 403 341 163, -0.009955 -0.342820 1.137127 1008 859 250 320, -0.059438 -0.340732 0.827674 960 977 227 361, -0.130148 -0.349214 0.425545 776 1417 147 495, -0.132963 -0.319925 0.301257 -2147483648 -2147483648 113 548, 0.124754 -0.336296 1.125873 1135 856 294 319, 0.136945 -0.346746 0.829174 1211 983 314 363, 0.160682 -0.375588 0.405629 -2147483648 -2147483648 385 519, 0.148118 -0.346291 0.282266 -2147483648 -2147483648 417 593, 0.050254 0.083506 1.180305 1059 464 269 184, -0.149118 0.154149 0.973348 861 372 197 152, -0.092589 0.097895 0.983625 924 434 219 173, 0.243185 0.169161 0.946703 1298 349 348 144, 0.173889 0.120202 0.947294 1220 404 320 163
