0.063134 -0.361967 1.166971 1073 868 273 324, 0.057603 -0.107090 1.184909 1066 635 271 243, 0.048914 0.149174 1.187700 1057 406 268 164, 0.044330 0.289123 1.201011 1052 284 267 121, -0.113152 0.021121 1.174021 912 521 218 203, -0.193915 -0.134226 1.069398 827 673 187 256, -0.259287 -0.019958 0.905946 725 564 148 218, -0.280370 0.029757 0.873468 690 505 135 197, 0.208494 0.026938 1.153735 1207 514 319 201, 0.275111 -0.029975 1.012347 1311 570 353 221, 0.231252 0.097325 0.933674 1289 428 344 171, 0.238455 0.111872 0.945076 1294 413 346 166, -0.012921 -0.353217 1.141674 1005 867 249 323, -0.074696 -0.350328 0.829592 940 988 220 365, -0.136047 -0.354711 0.544388 806 1234 163 445, -0.138496 -0.326690 0.426172 755 1358 139 479, 0.135859 -0.351532 1.130418 1145 869 297 324, 0.137317 -0.350540 0.836138 1210 984 314 364, 0.142710 -0.358894 0.520838 1368 1272 352 457, 0.131148 -0.330449 0.402818 1456 1414 366 495, 0.051328 0.080093 1.188933 1060 468 269 185, -0.290439 0.085697 0.860092 673 435 129 173, -0.336093 0.029103 0.885923 627 506 114 198, 0.245001 0.177864 0.933296 1305 336 350 140, 0.276354 0.097192 0.908654 1351 425 365 170
0.062076 -0.358075 1.160554 1073 866 273 323, 0.055927 -0.101345 1.180294 1065 630 271 241, 0.048513 0.149558 1.185366 1057 406 268 164, 0.043042 0.289152 1.196765 1051 283 266 121, -0.112777 0.021200 1.171744 912 521 218 203, -0.207664 -0.115492 1.033449 808 659 180 251, -0.268844 0.008338 0.912201 715 531 145 206, -0.282603 0.053912 0.893911 694 477 137 187, 0.201846 0.025183 1.145691 1203 515 318 202, 0.272776 -0.042603 1.015217 1307 583 352 225, 0.167758 0.132833 1.036361 1192 403 313 163, 0.160930 0.163943 1.074541 1177 377 308 154, -0.013389 -0.349835 1.137356 1005 866 249 323, -0.074281 -0.349769 0.827849 941 988 220 365, -0.134866 -0.356514 0.543368 808 1239 164 447, -0.139184 -0.329234 0.426208 754 1365 138 481, 0.134378 -0.348143 1.125180 1144 867 297 323, 0.137947 -0.349480 0.835139 1211 983 314 364, 0.145705 -0.360162 0.519221 1376 1277 354 458, 0.133041 -0.332500 0.402191 1462 1421 368 496, 0.050279 0.085741 1.186496 1059 463 269 183, -0.292089 0.112616 0.885765 679 406 132 163, -0.338905 0.054410 0.907875 632 477 116 188, 0.121045 0.182077 1.115421 1132 366 293 150, 0.188439 0.146967 1.076222 1204 394 317 160
0.061806 -0.357192 1.159259 1073 866 273 323, 0.055695 -0.100625 1.179533 1065 630 270 241, 0.048452 0.149503 1.185125 1057 406 268 164, 0.042371 0.289283 1.196812 1050 283 266 121, -0.112882 0.021089 1.171567 912 521 218 203, -0.207720 -0.116463 1.037127 809 659 180 251, -0.248934 0.017582 0.930743 743 521 155 203, -0.257235 0.082440 0.912561 729 445 150 176, 0.201410 0.027839 1.146753 1202 513 318 201, 0.277092 -0.036902 1.019312 1310 577 353 223, 0.222529 0.105447 0.994406 1260 426 335 171, 0.236136 0.131449 0.996460 1274 399 340 161, -0.013458 -0.349504 1.136230 1005 866 249 323, -0.073998 -0.349714 0.827509 941 988 220 365, -0.133551 -0.356547 0.546672 812 1234 165 446, -0.137669 -0.329473 0.430757 760 1356 141 479, 0.133913 -0.346742 1.124083 1144 866 297 323, 0.140596 -0.349571 0.835948 1214 983 315 363, 0.151962 -0.361827 0.522909 1386 1275 357 458, 0.139605 -0.334465 0.407192 1473 1415 372 494, 0.050186 0.086195 1.186144 1059 462 269 183, -0.264377 0.130802 0.910801 720 388 147 157, -0.314638 0.077101 0.927404 667 453 129 179, 0.238216 0.187620 0.998889 1275 339 341 141, 0.196086 0.121978 1.036875 1221 414 323 167
0.060127 -0.357974 1.156309 1071 867 272 323, 0.050155 -0.099470 1.179458 1060 629 269 240, 0.037950 0.150253 1.189668 1047 405 265 163, 0.038055 0.289971 1.199612 1046 283 265 121, -0.115221 0.021320 1.171927 910 521 217 203, -0.193483 -0.109953 1.030518 822 653 184 249, -0.186153 0.057110 0.972702 821 478 183 188, -0.187014 0.117064 0.951573 817 410 181 165, 0.203906 0.028960 1.149621 1204 512 318 200, 0.282043 -0.036951 1.029881 1312 576 354 223, 0.234951 0.100530 0.987127 1276 431 341 172, 0.233721 0.132421 1.000753 1270 398 339 161, -0.015196 -0.351349 1.133293 1003 868 248 324, -0.067060 -0.349044 0.827742 950 987 223 365, -0.118646 -0.353537 0.547402 841 1227 175 444, -0.122182 -0.325719 0.432729 799 1343 153 476, 0.132391 -0.346725 1.121630 1143 867 297 323, 0.141628 -0.349822 0.835272 1215 983 316 364, 0.155771 -0.362109 0.527270 1390 1270 359 456, 0.144244 -0.334235 0.412980 1477 1402 375 491, 0.041018 0.088689 1.189212 1050 460 266 182, -0.194093 0.168520 0.956453 809 353 179 145, -0.226078 0.094656 0.922944 767 432 163 172, 0.220032 0.186552 1.006118 1254 342 334 142, 0.181666 0.101894 1.007875 1213 432 319 173
0.059958 -0.357616 1.156020 1071 867 272 323, 0.050131 -0.098876 1.179274 1060 628 269 240, 0.038523 0.150824 1.189418 1048 405 265 163, 0.037739 0.290426 1.199711 1046 283 265 121, -0.114745 0.021327 1.171444 911 521 217 203, -0.191256 -0.113085 1.028161 824 657 185 250, -0.177880 0.043016 0.959622 828 493 185 193, -0.178932 0.100535 0.931195 823 426 183 170, 0.202917 0.030567 1.148321 1203 511 318 200, 0.268681 -0.099125 1.049604 1292 639 347 244, 0.235310 0.074521 1.003486 1271 460 339 182, 0.232151 0.131517 1.015104 1264 401 337 162, -0.015333 -0.351213 1.133056 1003 868 248 324, -0.067359 -0.349101 0.827043 950 988 223 365, -0.119044 -0.353768 0.546557 840 1229 174 444, -0.122876 -0.325921 0.431648 797 1345 152 477, 0.132215 -0.346086 1.121355 1143 866 297 323, 0.141489 -0.349849 0.835174 1215 983 316 364, 0.155719 -0.362949 0.526384 1390 1273 359 457, 0.143904 -0.335062 0.411849 1478 1407 374 492, 0.041440 0.089411 1.188969 1051 460 266 182, -0.183027 0.150404 0.926666 817 368 181 150, -0.230913 0.094014 0.955227 769 436 165 174, 0.225568 0.186636 1.021225 1256 345 334 143, 0.183627 0.113349 1.036091 1209 423 318 170
0.059413 -0.357922 1.155092 1071 868 272 323, 0.050412 -0.098323 1.178591 1060 628 269 240, 0.040694 0.152005 1.188043 1050 404 266 163, 0.039101 0.291866 1.199522 1047 281 265 120, -0.105055 0.016697 1.162902 919 525 220 204, -0.169474 -0.115524 1.027097 847 659 193 251, -0.137082 0.057849 0.961435 874 476 201 188, -0.136784 0.103269 0.962152 874 426 201 170, 0.203829 0.030667 1.148920 1204 510 318 200, 0.285709 -0.027374 1.030616 1316 566 355 219, 0.259319 0.111976 0.984675 1303 418 350 168, 0.262107 0.145343 0.978253 1308 381 352 155, -0.015981 -0.351615 1.131152 1002 869 248 324, -0.068566 -0.349532 0.825814 948 989 223 365, -0.121462 -0.354340 0.542665 835 1235 172 446, -0.123420 -0.326313 0.426813 793 1356 151 480, 0.131716 -0.346384 1.121133 1143 867 296 323, 0.140137 -0.350145 0.834631 1214 984 315 364, 0.153431 -0.363346 0.523860 1388 1277 358 458, 0.143485 -0.335290 0.408411 1481 1415 375 494, 0.043076 0.090640 1.187780 1052 458 266 182, -0.129737 0.157547 0.970671 882 368 204 150, -0.186108 0.106033 0.941429 816 421 181 168, 0.264626 0.196351 0.973234 1312 324 353 136, 0.228138 0.135897 1.021067 1258 397 335 161
0.058788 -0.357515 1.154175 1070 868 272 323, 0.050230 -0.097854 1.177927 1060 627 269 240, 0.040940 0.152225 1.187505 1050 403 266 163, 0.039170 0.292315 1.199180 1047 281 265 120, -0.105922 0.019341 1.162886 918 522 220 204, -0.168849 -0.106591 1.023147 847 651 193 248, -0.150947 0.063528 0.970560 859 471 196 186, -0.156706 0.113889 0.966310 852 415 194 166, 0.203757 0.030597 1.148921 1204 511 318 200, 0.281445 -0.031929 1.031423 1311 571 353 221, 0.249333 0.103303 0.979181 1294 427 347 171, 0.251064 0.136209 0.988199 1293 392 346 159, -0.016358 -0.351121 1.129982 1002 869 248 324, -0.068862 -0.349606 0.825763 948 989 223 365, -0.122181 -0.355059 0.541180 833 1239 172 447, -0.124007 -0.326928 0.425173 791 1361 150 481, 0.130923 -0.346088 1.120571 1142 866 296 323, 0.139858 -0.350309 0.834450 1213 984 315 364, 0.153795 -0.364107 0.523000 1389 1280 359 459, 0.143985 -0.335954 0.407390 1484 1419 375 495, 0.043236 0.090974 1.187217 1052 458 267 182, -0.153915 0.169728 0.978776 857 356 196 146, -0.192848 0.106426 0.934378 807 420 178 168, 0.245512 0.190093 0.985260 1288 334 345 139, 0.220281 0.134007 1.022380 1250 400 332 162
0.058377 -0.358009 1.152718 1070 869 272 324, 0.050221 -0.097585 1.176843 1060 627 269 240, 0.041590 0.152610 1.186442 1051 403 266 163, 0.041118 0.293184 1.197460 1049 280 266 120, -0.105002 0.019185 1.161652 919 522 220 204, -0.169508 -0.110554 1.025267 846 654 193 249, -0.146235 0.045446 0.963520 864 490 198 192, -0.144019 0.092563 0.952526 865 437 198 174, 0.203487 0.031167 1.148570 1203 510 318 200, 0.280826 -0.029607 1.032101 1310 569 353 220, 0.255487 0.108022 0.989887 1297 423 348 170, 0.257258 0.138949 0.987568 1300 389 349 158, -0.016222 -0.351592 1.128404 1002 870 248 324, -0.069769 -0.349785 0.825228 946 990 222 366, -0.124737 -0.355055 0.538694 827 1242 170 448, -0.126392 -0.326750 0.422178 784 1366 148 482, 0.129975 -0.346597 1.119381 1141 867 296 323, 0.140413 -0.350518 0.833515 1214 985 315 364, 0.156215 -0.364079 0.520562 1396 1283 361 460, 0.146548 -0.335756 0.404446 -2147483648 -2147483648 378 496, 0.043714 0.091419 1.186159 1053 458 267 182, -0.138354 0.144191 0.947944 871 379 200 154, -0.179720 0.125140 0.938545 823 399 183 161, 0.260266 0.191308 0.988353 1302 333 350 139, 0.213511 0.127132 1.028328 1241 408 329 164
0.058374 -0.358965 1.152355 1070 870 272 324, 0.050120 -0.097386 1.176402 1060 627 269 240, 0.041294 0.154563 1.185180 1051 401 266 162, 0.042340 0.293064 1.196337 1050 280 266 120, -0.105118 0.017296 1.160176 919 524 220 204, -0.158496 -0.116021 1.034706 859 659 197 251, -0.118696 0.055690 0.969720 895 479 208 189, -0.119968 0.092501 0.964506 893 438 208 175, 0.204409 0.030534 1.148672 1204 511 318 200, 0.280281 -0.027234 1.030138 1310 566 353 219, 0.261471 0.106335 0.973184 1309 423 352 170, 0.263592 0.138898 0.965151 1314 386 354 157, -0.016236 -0.352438 1.127653 1002 871 248 324, -0.070102 -0.349808 0.825081 946 990 222 366, -0.125644 -0.354301 0.537954 825 1241 169 448, -0.126925 -0.326138 0.421303 782 1366 147 482, 0.129998 -0.347737 1.119412 1141 868 296 324, 0.140412 -0.350573 0.833554 1214 985 315 364, 0.156203 -0.362889 0.520403 1396 1281 361 459, 0.146881 -0.334705 0.404149 -2147483648 -2147483648 379 495, 0.043489 0.092842 1.185130 1053 456 267 181, -0.117884 0.140924 0.965578 895 385 209 156, -0.167558 0.101443 0.943000 837 426 188 170, 0.268600 0.186832 0.956625 1323 331 356 138, 0.244100 0.143319 1.018300 1276 389 341 158
0.058553 -0.359565 1.152360 1070 870 272 324, 0.050091 -0.097340 1.176268 1060 627 269 240, 0.041146 0.155208 1.184792 1051 401 266 162, 0.043209 0.292731 1.195547 1051 280 266 120, -0.105707 0.015858 1.159389 918 525 220 205, -0.151695 -0.111645 1.036767 866 654 200 249, -0.112817 0.062632 0.975552 901 472 211 186, -0.116445 0.101155 0.974204 897 430 210 172, 0.205120 0.029616 1.148666 1205 511 319 200, 0.277537 -0.027727 1.028180 1308 567 352 220, 0.261938 0.100933 0.959883 1315 427 353 171, 0.263881 0.135312 0.953363 1319 388 355 158, -0.016166 -0.352922 1.127424 1002 871 248 325, -0.070452 -0.349858 0.825048 946 990 222 366, -0.126511 -0.353933 0.537710 823 1241 168 448, -0.127597 -0.325819 0.420940 780 1366 146 482, 0.130345 -0.348489 1.119731 1141 869 296 324, 0.140415 -0.350690 0.833589 1214 985 315 364, 0.155788 -0.362257 0.520489 1395 1280 360 459, 0.146640 -0.334112 0.404106 1495 1421 379 495, 0.043387 0.093341 1.184804 1053 456 267 181, -0.111183 0.154689 0.978302 903 372 212 152, -0.166923 0.101281 0.980708 843 431 191 172, 0.273966 0.182582 0.936861 1336 332 361 138, 0.211960 0.144191 0.963214 1258 380 334 155
