0.034023 -0.472461 1.118903 1051 987 264 365, 0.025789 -0.160723 1.133831 1041 690 262 261, 0.017550 0.137828 1.129344 1033 410 259 165, 0.005945 0.280384 1.139808 1021 279 255 119, -0.143768 0.015557 1.108189 880 525 206 205, -0.227030 -0.152194 1.003019 783 701 170 265, -0.304891 -0.014276 0.926668 678 557 132 215, -0.337963 0.042727 0.919373 637 492 118 193, 0.176168 0.016792 1.098202 1188 523 312 204, 0.271613 -0.140346 1.019873 1305 684 351 260, 0.347225 0.003146 0.931262 1423 534 390 208, 0.382128 0.070162 0.913268 1472 456 407 181, -0.040917 -0.459171 1.087281 980 988 239 365, -0.115169 -0.343220 0.765887 882 1016 198 374, 0.154204 -0.346816 0.812710 1239 992 323 367, 0.175682 -0.416010 0.719388 1306 1153 342 421, 0.106989 -0.458521 1.086037 1124 987 289 365, 0.133806 -0.330896 0.761682 1228 1000 318 369, -0.038323 -0.428849 0.708754 991 1183 233 431, -0.124817 -0.392334 0.748047 866 1097 192 402, 0.019604 0.065243 1.133129 1034 478 260 189, -0.376144 0.115390 0.945078 603 412 107 165, -0.395583 0.021065 0.920429 571 517 95 201, 0.428117 0.142993 0.927903 1517 374 423 153, 0.439575 0.054425 0.895400 1551 473 434 187
0.032537 -0.395507 1.111405 1050 917 264 340, 0.024368 -0.128348 1.126934 1040 660 261 251, 0.015914 0.137283 1.126010 1031 410 258 165, 0.005870 0.278146 1.132333 1021 279 255 120, -0.144711 0.012893 1.102860 878 528 205 205, -0.218328 -0.178413 0.992947 790 731 173 276, -0.245405 0.022594 0.914607 743 514 155 201, -0.236554 0.090296 0.898639 749 434 157 173, 0.176354 0.015836 1.094755 1189 523 312 204, 0.263329 -0.166778 1.014043 1298 713 349 270, 0.286768 0.033933 0.924037 1357 499 367 196, 0.278864 0.092539 0.911338 1353 431 366 172, -0.041940 -0.385559 1.082828 979 917 239 341, -0.114664 -0.358670 0.757677 882 1043 198 384, -0.181233 -0.341334 0.483097 686 1294 120 460, -0.181053 -0.309365 0.332255 -2147483648 -2147483648 76 513, 0.105281 -0.384214 1.080435 1123 916 289 340, 0.157644 -0.364493 0.750902 1266 1054 330 388, -0.037726 -0.433437 0.736010 991 1166 234 425, -0.139994 -0.389255 0.726767 841 1109 183 406, 0.017969 0.070017 1.128822 1033 474 259 187, -0.245595 0.168234 0.915486 743 346 155 142, -0.288178 0.099374 0.902900 690 424 136 169, 0.286013 0.169368 0.917290 1358 342 368 142, 0.304017 0.066388 0.870022 1402 457 382 182
0.033528 -0.393894 1.111225 1050 915 264 340, 0.023969 -0.125419 1.127747 1039 657 261 250, 0.014086 0.137325 1.127968 1029 410 258 165, 0.005601 0.278285 1.134683 1021 279 255 120, -0.147956 0.009150 1.102819 875 531 204 207, -0.230265 -0.178637 0.986574 777 732 168 276, -0.244597 0.025472 0.916007 744 511 155 199, -0.262287 0.086944 0.908534 722 439 147 175, 0.177883 0.015050 1.096504 1190 524 313 205, 0.264873 -0.173074 1.013818 1300 719 349 272, 0.284295 0.034786 0.927406 1353 498 366 196, 0.304412 0.089831 0.922969 1377 435 374 174, -0.041329 -0.385101 1.082632 979 917 239 340, -0.115035 -0.359133 0.751995 881 1047 197 385, -0.191709 -0.341107 0.436559 630 1375 101 480, -0.189626 -0.308885 0.293605 -2147483648 -2147483648 52 538, 0.106478 -0.381961 1.080734 1124 914 289 340, 0.163405 -0.365230 0.746235 1276 1058 334 389, 0.148162 -0.587751 0.508146 -2147483648 -2147483648 345 574, 0.096221 -0.649062 0.450147 -2147483648 -2147483648 324 690, 0.016517 0.071711 1.130345 1032 472 259 186, -0.252738 0.167656 0.924203 736 348 153 143, -0.325297 0.099789 0.923778 653 426 124 170, 0.323347 0.170943 0.932610 1395 344 381 142, 0.328152 0.063412 0.883891 1424 462 390 183
0.033020 -0.393999 1.110024 1050 916 264 340, 0.023778 -0.124185 1.127486 1039 656 261 250, 0.013623 0.137072 1.129672 1029 411 258 165, 0.004672 0.277782 1.137880 1020 281 255 120, -0.140625 0.012675 1.101373 882 528 207 205, -0.186522 -0.203440 1.012812 827 753 186 283, -0.178264 0.017250 0.880280 816 520 179 202, -0.166777 0.045538 0.873556 828 485 183 191, 0.175576 0.014022 1.096514 1188 525 312 205, 0.247204 -0.194820 1.037730 1274 737 341 279, 0.229395 -0.004384 0.885581 1305 544 348 211, 0.222032 0.030083 0.857582 1307 501 348 197, -0.042616 -0.385937 1.080504 978 918 239 341, -0.117748 -0.360570 0.744885 876 1054 195 388, -0.206563 -0.341574 0.383039 -2147483648 -2147483648 75 504, -0.202266 -0.308600 0.247003 -2147483648 -2147483648 -29 642, 0.106822 -0.381468 1.080817 1125 913 290 339, 0.158945 -0.368676 0.740181 1272 1068 332 392, 0.222490 -0.363960 0.372367 -2147483648 -2147483648 444 521, 0.213074 -0.331136 0.237086 -2147483648 -2147483648 667 852, 0.016193 0.072800 1.131350 1031 471 258 186, -0.167686 0.104025 0.820571 818 406 178 163, -0.189246 0.024366 0.787111 783 508 165 198, 0.217272 0.098618 0.792834 1328 406 354 164, 0.203328 0.050736 0.921714 1262 480 334 189
0.032828 -0.394096 1.109811 1050 916 264 340, 0.023451 -0.123615 1.127314 1039 656 261 250, 0.013416 0.138009 1.129500 1029 410 258 165, 0.004626 0.278409 1.137178 1020 280 255 120, -0.134727 0.011828 1.093737 887 529 208 206, -0.178946 -0.191828 0.997334 833 744 187 280, -0.122374 0.042467 0.923647 887 491 205 193, -0.103320 0.084481 0.921364 908 443 212 176, 0.170491 0.019300 1.094884 1183 520 310 203, 0.239698 -0.218863 1.061999 1260 757 336 285, 0.180492 -0.111896 0.838446 1263 680 332 259, 0.173917 -0.055878 0.840444 1253 609 329 234, -0.043119 -0.386398 1.079323 978 919 239 341, -0.117450 -0.360017 0.743627 876 1054 195 388, -0.206398 -0.339728 0.377695 -2147483648 -2147483648 74 505, -0.200357 -0.306676 0.242410 -2147483648 -2147483648 -38 656, 0.106783 -0.381435 1.081017 1125 913 290 339, 0.163534 -0.368973 0.741144 1279 1067 334 392, 0.233187 -0.364532 0.370136 -2147483648 -2147483648 453 521, 0.225162 -0.331872 0.235858 -2147483648 -2147483648 735 920, 0.015914 0.073860 1.131168 1031 470 258 186, -0.081139 0.138453 0.914355 933 379 221 154, -0.096881 0.091790 0.883187 914 430 213 172, 0.169457 -0.025197 0.761699 1277 574 335 222, 0.131076 -0.035626 0.849083 1197 583 310 225
0.032705 -0.393834 1.107749 1050 916 264 340, 0.025308 -0.124569 1.124892 1041 657 261 250, 0.018687 0.133434 1.126100 1034 414 259 166, -0.007673 0.273674 1.126540 1009 282 251 121, -0.140555 0.021215 1.097304 882 520 206 203, -0.137652 -0.118712 0.965655 874 670 201 255, -0.060535 0.112538 0.981071 958 418 231 168, -0.037640 0.170838 1.002698 982 359 239 147, 0.169547 0.025886 1.096693 1182 514 310 201, 0.248175 -0.201324 1.031713 1277 745 342 281, 0.114941 -0.168939 0.838734 1180 752 303 284, 0.095709 -0.168460 0.820872 1160 756 296 285, -0.042529 -0.386129 1.074034 978 921 239 342, -0.115060 -0.355191 0.741428 879 1049 196 386, -0.204151 -0.329174 0.370501 -2147483648 -2147483648 72 502, -0.198226 -0.296503 0.237837 -2147483648 -2147483648 -36 644, 0.106468 -0.380903 1.081541 1124 913 289 339, 0.170286 -0.363938 0.746223 1286 1057 337 389, 0.250127 -0.353973 0.371863 -2147483648 -2147483648 466 511, 0.241312 -0.322128 0.240231 -2147483648 -2147483648 731 847, 0.020235 0.070571 1.128037 1035 473 260 187, -0.006386 0.238907 1.008510 1015 288 251 123, -0.058616 0.185798 0.971000 960 337 231 140, 0.063892 -0.161449 0.779172 1127 759 283 286, 0.049008 -0.155298 0.848786 1095 733 274 277
0.032521 -0.394029 1.107031 1050 917 264 341, 0.025615 -0.124850 1.124223 1041 657 262 250, 0.019389 0.133047 1.125522 1034 414 260 166, -0.008405 0.272801 1.125533 1008 282 250 121, -0.141244 0.022495 1.098343 881 518 206 202, -0.136095 -0.119331 0.970195 876 670 202 255, -0.057899 0.103093 0.978180 961 428 232 171, -0.039367 0.163436 1.002296 981 367 239 150, 0.170084 0.025648 1.096442 1182 514 310 201, 0.250983 -0.200017 1.032450 1280 744 343 281, 0.124993 -0.179328 0.853304 1189 762 307 287, 0.094808 -0.177152 0.821222 1158 768 296 289, -0.042381 -0.386164 1.073275 978 921 239 342, -0.114864 -0.354788 0.741695 880 1048 196 385, -0.204335 -0.328135 0.370234 -2147483648 -2147483648 71 502, -0.198695 -0.295557 0.238284 -2147483648 -2147483648 -34 639, 0.105898 -0.381230 1.081245 1124 913 289 339, 0.173039 -0.361423 0.747727 1289 1052 338 387, 0.257268 -0.347974 0.373752 -2147483648 -2147483648 472 505, 0.248014 -0.316352 0.242773 -2147483648 -2147483648 718 802, 0.020862 0.070206 1.127430 1036 473 260 187, -0.008094 0.230684 1.007423 1013 297 250 126, -0.030405 0.124892 0.955217 991 401 242 162, 0.062594 -0.171292 0.778335 1125 772 283 290, 0.048213 -0.165343 0.850062 1094 745 274 281
0.029563 -0.391549 1.098981 1048 917 263 341, 0.021948 -0.123038 1.119081 1038 656 260 250, 0.014457 0.134700 1.122532 1030 412 258 166, -0.007626 0.272989 1.125455 1009 282 251 121, -0.142709 0.019946 1.105948 881 521 206 203, -0.171277 -0.217259 1.024843 845 765 192 287, -0.078380 -0.320750 0.896803 938 919 221 341, 0.015634 -0.312494 0.851476 1053 929 260 345, 0.170820 0.023386 1.094395 1184 516 310 202, 0.217119 -0.186331 1.057878 1238 725 329 274, 0.152293 -0.321784 0.900297 1210 918 315 341, 0.140627 -0.371288 0.860843 1207 997 313 368, -0.043188 -0.383730 1.068927 978 920 238 342, -0.091926 -0.322794 0.736181 912 1005 207 371, -0.154268 -0.260597 0.359623 669 1314 103 464, -0.151355 -0.227026 0.226473 -2147483648 -2147483648 43 524, 0.100454 -0.378269 1.070388 1120 914 288 340, 0.135364 -0.316511 0.736063 1240 995 321 368, 0.182450 -0.253007 0.357487 1670 1292 431 456, 0.169984 -0.219987 0.224479 -2147483648 -2147483648 490 515, 0.016370 0.071855 1.124020 1032 472 259 186, 0.067147 -0.311087 0.831620 1121 936 283 347, 0.045012 -0.260767 0.879750 1086 853 272 319, 0.127558 -0.406061 0.803447 1207 1076 312 395, 0.101903 -0.376267 0.868500 1157 999 296 369
0.019895 -0.396151 1.087841 1039 926 260 344, 0.017814 -0.125297 1.110001 1035 659 259 251, 0.015237 0.134034 1.115862 1031 412 258 166, -0.000343 0.274143 1.122224 1016 280 253 120, -0.142559 0.020178 1.104504 881 521 206 203, -0.152251 -0.215651 1.041699 866 759 200 286, -0.094169 -0.340791 0.898441 919 942 215 349, -0.074783 -0.364923 0.858142 941 991 221 366, 0.171047 0.020684 1.090326 1185 519 311 203, 0.207435 -0.207996 1.044967 1232 750 326 283, 0.135243 -0.337940 0.888018 1193 943 309 350, 0.079348 -0.346350 0.858655 1132 967 287 358, -0.052202 -0.386572 1.058957 969 927 235 344, -0.084861 -0.325984 0.724331 921 1018 210 375, -0.128148 -0.264196 0.341865 735 1365 122 480, -0.126042 -0.229104 0.209629 -2147483648 -2147483648 66 550, 0.090910 -0.384632 1.058699 1112 924 285 343, 0.134275 -0.325848 0.724929 1242 1016 321 375, 0.192025 -0.265624 0.342965 1730 1364 443 473, 0.178912 -0.231406 0.211600 -2147483648 -2147483648 522 557, 0.015933 0.070843 1.116712 1032 472 258 186, -0.042434 -0.393969 0.792163 982 1068 234 392, -0.031608 -0.354640 0.850976 995 982 240 363, 0.023866 -0.357477 0.809802 1069 1008 264 372, 0.052536 -0.310017 0.848829 1100 927 276 344
0.019729 -0.396407 1.087623 1039 926 260 344, 0.017762 -0.125389 1.109616 1035 659 259 251, 0.015375 0.134156 1.115264 1031 412 258 166, 0.000053 0.274262 1.121760 1016 280 253 120, -0.142556 0.020166 1.104362 881 521 206 203, -0.151724 -0.215753 1.041221 867 760 200 286, -0.097541 -0.349414 0.881133 914 961 213 356, -0.080613 -0.371631 0.840200 933 1009 218 372, 0.171106 0.020520 1.090043 1185 519 311 203, 0.207250 -0.208051 1.044580 1232 750 326 283, 0.135063 -0.338268 0.887717 1193 943 309 350, 0.079397 -0.346564 0.858656 1132 967 287 358, -0.052364 -0.386782 1.058745 968 927 235 344, -0.084908 -0.326174 0.724074 921 1018 210 375, -0.128094 -0.264330 0.341255 734 1367 122 480, -0.126008 -0.229294 0.209065 -2147483648 -2147483648 65 551, 0.090752 -0.384917 1.058490 1112 925 285 343, 0.134249 -0.325986 0.724726 1242 1016 321 375, 0.192211 -0.265546 0.342472 1732 1365 444 473, 0.179053 -0.231392 0.211149 -2147483648 -2147483648 523 558, 0.016012 0.070906 1.116163 1032 472 258 186, -0.058566 -0.398357 0.766608 961 1092 225 400, -0.037875 -0.363793 0.836486 987 1001 237 370, 0.024453 -0.356922 0.809420 1070 1007 264 372, 0.056728 -0.309625 0.860623 1103 921 277 342
